ppm,intensity
-96.030433,0.00000003
-96.042102,0.00000003
-96.053771,0.00000003
-96.065439,0.00000003
-96.077108,0.00000003
-96.088776,0.00000003
-96.100445,0.00000003
-96.112114,0.00000003
-96.123782,0.00000003
-96.135451,0.00000003
-96.147119,0.00000003
-96.158788,0.00000003
-96.170457,0.00000003
-96.182125,0.00000003
-96.193794,0.00000003
-96.205463,0.00000003
-96.217131,0.00000003
-96.228800,0.00000003
-96.240468,0.00000003
-96.252137,0.00000003
-96.263806,0.00000003
-96.275474,0.00000003
-96.287143,0.00000003
-96.298811,0.00000003
-96.310480,0.00000003
-96.322149,0.00000003
-96.333817,0.00000003
-96.345486,0.00000003
-96.357154,0.00000003
-96.368823,0.00000003
-96.380492,0.00000003
-96.392160,0.00000003
-96.403829,0.00000003
-96.415498,0.00000003
-96.427166,0.00000003
-96.438835,0.00000003
-96.450503,0.00000003
-96.462172,0.00000003
-96.473841,0.00000003
-96.485509,0.00000003
-96.497178,0.00000003
-96.508846,0.00000003
-96.520515,0.00000003
-96.532184,0.00000003
-96.543852,0.00000003
-96.555521,0.00000003
-96.567189,0.00000003
-96.578858,0.00000003
-96.590527,0.00000003
-96.602195,0.00000003
-96.613864,0.00000003
-96.625533,0.00000003
-96.637201,0.00000003
-96.648870,0.00000003
-96.660538,0.00000003
-96.672207,0.00000003
-96.683876,0.00000003
-96.695544,0.00000003
-96.707213,0.00000003
-96.718881,0.00000003
-96.730550,0.00000003
-96.742219,0.00000003
-96.753887,0.00000003
-96.765556,0.00000003
-96.777224,0.00000003
-96.788893,0.00000003
-96.800562,0.00000003
-96.812230,0.00000003
-96.823899,0.00000003
-96.835568,0.00000003
-96.847236,0.00000003
-96.858905,0.00000003
-96.870573,0.00000003
-96.882242,0.00000003
-96.893911,0.00000003
-96.905579,0.00000003
-96.917248,0.00000003
-96.928916,0.00000003
-96.940585,0.00000003
-96.952254,0.00000003
-96.963922,0.00000003
-96.975591,0.00000003
-96.987259,0.00000003
-96.998928,0.00000003
-97.010597,0.00000003
-97.022265,0.00000003
-97.033934,0.00000003
-97.045603,0.00000003
-97.057271,0.00000003
-97.068940,0.00000003
-97.080608,0.00000003
-97.092277,0.00000003
-97.103946,0.00000003
-97.115614,0.00000003
-97.127283,0.00000003
-97.138951,0.00000003
-97.150620,0.00000003
-97.162289,0.00000003
-97.173957,0.00000003
-97.185626,0.00000003
-97.197294,0.00000003
-97.208963,0.00000003
-97.220632,0.00000003
-97.232300,0.00000003
-97.243969,0.00000003
-97.255638,0.00000003
-97.267306,0.00000003
-97.278975,0.00000003
-97.290643,0.00000003
-97.302312,0.00000003
-97.313981,0.00000003
-97.325649,0.00000003
-97.337318,0.00000003
-97.348986,0.00000003
-97.360655,0.00000003
-97.372324,0.00000003
-97.383992,0.00000003
-97.395661,0.00000003
-97.407329,0.00000003
-97.418998,0.00000003
-97.430667,0.00000003
-97.442335,0.00000003
-97.454004,0.00000003
-97.465673,0.00000003
-97.477341,0.00000003
-97.489010,0.00000003
-97.500678,0.00000003
-97.512347,0.00000003
-97.524016,0.00000003
-97.535684,0.00000003
-97.547353,0.00000003
-97.559021,0.00000003
-97.570690,0.00000003
-97.582359,0.00000003
-97.594027,0.00000003
-97.605696,0.00000003
-97.617365,0.00000003
-97.629033,0.00000003
-97.640702,0.00000003
-97.652370,0.00000003
-97.664039,0.00000003
-97.675708,0.00000003
-97.687376,0.00000003
-97.699045,0.00000003
-97.710713,0.00000003
-97.722382,0.00000003
-97.734051,0.00000003
-97.745719,0.00000003
-97.757388,0.00000003
-97.769056,0.00000003
-97.780725,0.00000003
-97.792394,0.00000003
-97.804062,0.00000003
-97.815731,0.00000003
-97.827400,0.00000003
-97.839068,0.00000003
-97.850737,0.00000003
-97.862405,0.00000003
-97.874074,0.00000003
-97.885743,0.00000003
-97.897411,0.00000003
-97.909080,0.00000003
-97.920748,0.00000003
-97.932417,0.00000003
-97.944086,0.00000003
-97.955754,0.00000003
-97.967423,0.00000003
-97.979091,0.00000003
-97.990760,0.00000003
-98.002429,0.00000003
-98.014097,0.00000003
-98.025766,0.00000003
-98.037435,0.00000003
-98.049103,0.00000003
-98.060772,0.00000003
-98.072440,0.00000003
-98.084109,0.00000003
-98.095778,0.00000003
-98.107446,0.00000003
-98.119115,0.00000003
-98.130783,0.00000003
-98.142452,0.00000003
-98.154121,0.00000003
-98.165789,0.00000003
-98.177458,0.00000003
-98.189126,0.00000003
-98.200795,0.00000003
-98.212464,0.00000003
-98.224132,0.00000003
-98.235801,0.00000003
-98.247470,0.00000003
-98.259138,0.00000003
-98.270807,0.00000003
-98.282475,0.00000003
-98.294144,0.00000003
-98.305813,0.00000003
-98.317481,0.00000003
-98.329150,0.00000003
-98.340818,0.00000003
-98.352487,0.00000003
-98.364156,0.00000003
-98.375824,0.00000003
-98.387493,0.00000003
-98.399161,0.00000003
-98.410830,0.00000003
-98.422499,0.00000003
-98.434167,0.00000003
-98.445836,0.00000003
-98.457505,0.00000003
-98.469173,0.00000003
-98.480842,0.00000003
-98.492510,0.00000003
-98.504179,0.00000003
-98.515848,0.00000003
-98.527516,0.00000003
-98.539185,0.00000003
-98.550853,0.00000003
-98.562522,0.00000003
-98.574191,0.00000003
-98.585859,0.00000003
-98.597528,0.00000003
-98.609196,0.00000003
-98.620865,0.00000003
-98.632534,0.00000003
-98.644202,0.00000003
-98.655871,0.00000003
-98.667540,0.00000003
-98.679208,0.00000003
-98.690877,0.00000003
-98.702545,0.00000003
-98.714214,0.00000003
-98.725883,0.00000003
-98.737551,0.00000003
