ppm,intensity
4.001141,0.00000162
4.000505,0.00000162
3.999868,0.00000162
3.999232,0.00000162
3.998596,0.00000162
3.997959,0.00000163
3.997323,0.00000163
3.996686,0.00000163
3.996050,0.00000163
3.995414,0.00000163
3.994777,0.00000163
3.994141,0.00000163
3.993505,0.00000163
3.992868,0.00000164
3.992232,0.00000164
3.991596,0.00000164
3.990959,0.00000164
3.990323,0.00000164
3.989687,0.00000164
3.989050,0.00000164
3.988414,0.00000164
3.987778,0.00000165
3.987141,0.00000165
3.986505,0.00000165
3.985869,0.00000165
3.985232,0.00000165
3.984596,0.00000165
3.983960,0.00000165
3.983323,0.00000165
3.982687,0.00000166
3.982051,0.00000166
3.981414,0.00000166
3.980778,0.00000166
3.980141,0.00000166
3.979505,0.00000166
3.978869,0.00000166
3.978232,0.00000167
3.977596,0.00000167
3.976960,0.00000167
3.976323,0.00000167
3.975687,0.00000167
3.975051,0.00000167
3.974414,0.00000167
3.973778,0.00000167
3.973142,0.00000168
3.972505,0.00000168
3.971869,0.00000168
3.971233,0.00000168
3.970596,0.00000168
3.969960,0.00000168
3.969324,0.00000168
3.968687,0.00000169
3.968051,0.00000169
3.967415,0.00000169
3.966778,0.00000169
3.966142,0.00000169
3.965506,0.00000169
3.964869,0.00000169
3.964233,0.00000169
3.963596,0.00000170
3.962960,0.00000170
3.962324,0.00000170
3.961687,0.00000170
3.961051,0.00000170
3.960415,0.00000170
3.959778,0.00000170
3.959142,0.00000171
3.958506,0.00000171
3.957869,0.00000171
3.957233,0.00000171
3.956597,0.00000171
3.955960,0.00000171
3.955324,0.00000171
3.954688,0.00000172
3.954051,0.00000172
3.953415,0.00000172
3.952779,0.00000172
3.952142,0.00000172
3.951506,0.00000172
3.950870,0.00000172
3.950233,0.00000172
3.949597,0.00000173
3.948961,0.00000173
3.948324,0.00000173
3.947688,0.00000173
3.947051,0.00000173
3.946415,0.00000173
3.945779,0.00000173
3.945142,0.00000174
3.944506,0.00000174
3.943870,0.00000174
3.943233,0.00000174
3.942597,0.00000174
3.941961,0.00000174
3.941324,0.00000174
3.940688,0.00000175
3.940052,0.00000175
3.939415,0.00000175
3.938779,0.00000175
3.938143,0.00000175
3.937506,0.00000175
3.936870,0.00000175
3.936234,0.00000176
3.935597,0.00000176
3.934961,0.00000176
3.934325,0.00000176
3.933688,0.00000176
3.933052,0.00000176
3.932416,0.00000176
3.931779,0.00000177
3.931143,0.00000177
3.930506,0.00000177
3.929870,0.00000177
3.929234,0.00000177
3.928597,0.00000177
3.927961,0.00000177
3.927325,0.00000178
3.926688,0.00000178
3.926052,0.00000178
3.925416,0.00000178
3.924779,0.00000178
3.924143,0.00000178
3.923507,0.00000178
3.922870,0.00000179
3.922234,0.00000179
3.921598,0.00000179
3.920961,0.00000179
3.920325,0.00000179
3.919689,0.00000179
3.919052,0.00000180
3.918416,0.00000180
3.917780,0.00000180
3.917143,0.00000180
3.916507,0.00000180
3.915871,0.00000180
3.915234,0.00000180
3.914598,0.00000181
3.913961,0.00000181
3.913325,0.00000181
3.912689,0.00000181
3.912052,0.00000181
3.911416,0.00000181
3.910780,0.00000181
3.910143,0.00000182
3.909507,0.00000182
3.908871,0.00000182
3.908234,0.00000182
3.907598,0.00000182
3.906962,0.00000182
3.906325,0.00000183
3.905689,0.00000183
3.905053,0.00000183
3.904416,0.00000183
3.903780,0.00000183
3.903144,0.00000183
3.902507,0.00000183
3.901871,0.00000184
3.901235,0.00000184
3.900598,0.00000184
3.899962,0.00000184
3.899326,0.00000184
3.898689,0.00000184
3.898053,0.00000185
3.897416,0.00000185
3.896780,0.00000185
3.896144,0.00000185
3.895507,0.00000185
3.894871,0.00000185
3.894235,0.00000185
3.893598,0.00000186
3.892962,0.00000186
3.892326,0.00000186
3.891689,0.00000186
3.891053,0.00000186
3.890417,0.00000186
3.889780,0.00000187
3.889144,0.00000187
3.888508,0.00000187
3.887871,0.00000187
3.887235,0.00000187
3.886599,0.00000187
3.885962,0.00000188
3.885326,0.00000188
