ppm,intensity
-73.556992,0.00000003
-73.568661,0.00000003
-73.580329,0.00000003
-73.591998,0.00000003
-73.603666,0.00000003
-73.615335,0.00000003
-73.627004,0.00000003
-73.638672,0.00000003
-73.650341,0.00000003
-73.662009,0.00000003
-73.673678,0.00000003
-73.685347,0.00000003
-73.697015,0.00000003
-73.708684,0.00000003
-73.720352,0.00000003
-73.732021,0.00000003
-73.743690,0.00000003
-73.755358,0.00000003
-73.767027,0.00000003
-73.778696,0.00000003
-73.790364,0.00000003
-73.802033,0.00000003
-73.813701,0.00000003
-73.825370,0.00000003
-73.837039,0.00000003
-73.848707,0.00000003
-73.860376,0.00000003
-73.872044,0.00000003
-73.883713,0.00000003
-73.895382,0.00000003
-73.907050,0.00000003
-73.918719,0.00000003
-73.930387,0.00000003
-73.942056,0.00000003
-73.953725,0.00000003
-73.965393,0.00000003
-73.977062,0.00000003
-73.988731,0.00000003
-74.000399,0.00000003
-74.012068,0.00000003
-74.023736,0.00000003
-74.035405,0.00000003
-74.047074,0.00000003
-74.058742,0.00000003
-74.070411,0.00000003
-74.082079,0.00000003
-74.093748,0.00000003
-74.105417,0.00000003
-74.117085,0.00000003
-74.128754,0.00000003
-74.140422,0.00000003
-74.152091,0.00000003
-74.163760,0.00000003
-74.175428,0.00000003
-74.187097,0.00000003
-74.198766,0.00000003
-74.210434,0.00000003
-74.222103,0.00000003
-74.233771,0.00000003
-74.245440,0.00000003
-74.257109,0.00000003
-74.268777,0.00000003
-74.280446,0.00000003
-74.292114,0.00000003
-74.303783,0.00000003
-74.315452,0.00000003
-74.327120,0.00000003
-74.338789,0.00000003
-74.350457,0.00000003
-74.362126,0.00000003
-74.373795,0.00000003
-74.385463,0.00000003
-74.397132,0.00000003
-74.408801,0.00000003
-74.420469,0.00000003
-74.432138,0.00000003
-74.443806,0.00000003
-74.455475,0.00000003
-74.467144,0.00000003
-74.478812,0.00000003
-74.490481,0.00000003
-74.502149,0.00000003
-74.513818,0.00000003
-74.525487,0.00000003
-74.537155,0.00000003
-74.548824,0.00000003
-74.560492,0.00000003
-74.572161,0.00000003
-74.583830,0.00000003
-74.595498,0.00000003
-74.607167,0.00000003
-74.618836,0.00000003
-74.630504,0.00000003
-74.642173,0.00000003
-74.653841,0.00000003
-74.665510,0.00000003
-74.677179,0.00000003
-74.688847,0.00000003
-74.700516,0.00000003
-74.712184,0.00000003
-74.723853,0.00000003
-74.735522,0.00000003
-74.747190,0.00000003
-74.758859,0.00000003
-74.770527,0.00000003
-74.782196,0.00000003
-74.793865,0.00000003
-74.805533,0.00000003
-74.817202,0.00000003
-74.828871,0.00000003
-74.840539,0.00000003
-74.852208,0.00000003
-74.863876,0.00000003
-74.875545,0.00000003
-74.887214,0.00000003
-74.898882,0.00000003
-74.910551,0.00000003
-74.922219,0.00000003
-74.933888,0.00000003
-74.945557,0.00000003
-74.957225,0.00000003
-74.968894,0.00000003
-74.980563,0.00000003
-74.992231,0.00000003
-75.003900,0.00000003
-75.015568,0.00000003
-75.027237,0.00000003
-75.038906,0.00000003
-75.050574,0.00000003
-75.062243,0.00000003
-75.073911,0.00000003
-75.085580,0.00000003
-75.097249,0.00000003
-75.108917,0.00000003
-75.120586,0.00000003
-75.132254,0.00000003
-75.143923,0.00000003
-75.155592,0.00000003
-75.167260,0.00000003
-75.178929,0.00000003
-75.190598,0.00000003
-75.202266,0.00000003
-75.213935,0.00000003
-75.225603,0.00000003
-75.237272,0.00000003
-75.248941,0.00000003
