ppm,intensity
75.859045,0.00000003
75.844043,0.00000003
75.829040,0.00000003
75.814038,0.00000003
75.799035,0.00000003
75.784033,0.00000003
75.769030,0.00000003
75.754028,0.00000003
75.739025,0.00000003
75.724023,0.00000003
75.709020,0.00000003
75.694018,0.00000003
75.679015,0.00000003
75.664013,0.00000003
75.649010,0.00000003
75.634008,0.00000003
75.619005,0.00000003
75.604003,0.00000003
75.589000,0.00000003
75.573998,0.00000003
75.558995,0.00000003
75.543993,0.00000003
75.528990,0.00000003
75.513988,0.00000003
75.498985,0.00000003
75.483983,0.00000003
75.468980,0.00000003
75.453978,0.00000003
75.438975,0.00000003
75.423973,0.00000003
75.408970,0.00000003
75.393968,0.00000003
75.378965,0.00000003
75.363963,0.00000003
75.348960,0.00000003
75.333958,0.00000003
75.318955,0.00000003
75.303953,0.00000003
75.288950,0.00000003
75.273948,0.00000003
75.258945,0.00000003
75.243943,0.00000003
75.228940,0.00000003
75.213938,0.00000003
75.198935,0.00000003
75.183933,0.00000003
75.168930,0.00000003
75.153928,0.00000003
75.138925,0.00000003
75.123923,0.00000003
75.108920,0.00000003
75.093918,0.00000003
75.078915,0.00000003
75.063913,0.00000003
75.048910,0.00000003
75.033908,0.00000003
75.018905,0.00000003
75.003903,0.00000003
74.988900,0.00000003
74.973898,0.00000003
74.958895,0.00000003
74.943893,0.00000003
74.928890,0.00000003
74.913888,0.00000003
74.898885,0.00000003
74.883883,0.00000003
74.868880,0.00000003
74.853878,0.00000003
74.838875,0.00000003
74.823873,0.00000003
74.808870,0.00000003
74.793868,0.00000003
74.778865,0.00000003
74.763863,0.00000003
74.748860,0.00000003
74.733858,0.00000003
74.718855,0.00000003
74.703853,0.00000003
74.688850,0.00000003
74.673848,0.00000003
74.658845,0.00000003
74.643843,0.00000003
74.628840,0.00000003
74.613838,0.00000003
74.598835,0.00000003
74.583833,0.00000003
74.568830,0.00000003
74.553828,0.00000003
74.538825,0.00000003
74.523823,0.00000003
74.508820,0.00000003
74.493818,0.00000003
74.478815,0.00000003
74.463813,0.00000003
74.448810,0.00000003
74.433808,0.00000003
74.418805,0.00000003
74.403803,0.00000003
74.388800,0.00000003
74.373798,0.00000003
74.358795,0.00000003
74.343793,0.00000003
74.328790,0.00000003
74.313788,0.00000003
74.298785,0.00000003
