ppm,intensity
8.390461,0.00000385
8.389056,0.00000386
8.387650,0.00000387
8.386245,0.00000388
8.384839,0.00000389
8.383434,0.00000389
8.382028,0.00000390
8.380622,0.00000391
8.379217,0.00000392
8.377811,0.00000393
8.376406,0.00000394
8.375000,0.00000395
8.373594,0.00000395
8.372189,0.00000396
8.370783,0.00000397
8.369378,0.00000398
8.367972,0.00000399
8.366566,0.00000400
8.365161,0.00000401
8.363755,0.00000402
8.362350,0.00000403
8.360944,0.00000404
8.359539,0.00000404
8.358133,0.00000405
8.356727,0.00000406
8.355322,0.00000407
8.353916,0.00000408
8.352511,0.00000409
8.351105,0.00000410
8.349699,0.00000411
8.348294,0.00000412
8.346888,0.00000413
8.345483,0.00000414
8.344077,0.00000415
8.342671,0.00000416
8.341266,0.00000417
8.339860,0.00000418
8.338455,0.00000418
8.337049,0.00000419
8.335644,0.00000420
8.334238,0.00000421
8.332832,0.00000422
8.331427,0.00000423
8.330021,0.00000424
8.328616,0.00000425
8.327210,0.00000426
8.325804,0.00000427
8.324399,0.00000428
8.322993,0.00000429
8.321588,0.00000430
8.320182,0.00000431
8.318776,0.00000432
8.317371,0.00000433
8.315965,0.00000434
8.314560,0.00000435
8.313154,0.00000436
8.311749,0.00000437
8.310343,0.00000438
8.308937,0.00000439
8.307532,0.00000441
8.306126,0.00000442
8.304721,0.00000443
8.303315,0.00000444
8.301909,0.00000445
8.300504,0.00000446
8.299098,0.00000447
8.297693,0.00000448
8.296287,0.00000449
8.294881,0.00000450
8.293476,0.00000451
8.292070,0.00000452
8.290665,0.00000453
8.289259,0.00000454
8.287854,0.00000456
8.286448,0.00000457
8.285042,0.00000458
8.283637,0.00000459
8.282231,0.00000460
8.280826,0.00000461
8.279420,0.00000462
8.278014,0.00000463
8.276609,0.00000464
8.275203,0.00000466
8.273798,0.00000467
8.272392,0.00000468
8.270986,0.00000469
8.269581,0.00000470
8.268175,0.00000471
8.266770,0.00000472
8.265364,0.00000474
8.263959,0.00000475
8.262553,0.00000476
8.261147,0.00000477
8.259742,0.00000478
8.258336,0.00000480
8.256931,0.00000481
8.255525,0.00000482
8.254119,0.00000483
8.252714,0.00000484
8.251308,0.00000486
8.249903,0.00000487
8.248497,0.00000488
8.247091,0.00000489
8.245686,0.00000490
8.244280,0.00000492
8.242875,0.00000493
8.241469,0.00000494
8.240064,0.00000495
8.238658,0.00000497
8.237252,0.00000498
8.235847,0.00000499
8.234441,0.00000501
8.233036,0.00000502
8.231630,0.00000503
8.230224,0.00000504
8.228819,0.00000506
8.227413,0.00000507
8.226008,0.00000508
8.224602,0.00000510
8.223196,0.00000511
8.221791,0.00000512
8.220385,0.00000514
8.218980,0.00000515
8.217574,0.00000516
8.216169,0.00000518
8.214763,0.00000519
8.213357,0.00000520
8.211952,0.00000522
8.210546,0.00000523
8.209141,0.00000524
8.207735,0.00000526
8.206329,0.00000527
8.204924,0.00000528
8.203518,0.00000530
8.202113,0.00000531
8.200707,0.00000533
8.199301,0.00000534
8.197896,0.00000535
8.196490,0.00000537
8.195085,0.00000538
8.193679,0.00000540
8.192274,0.00000541
8.190868,0.00000543
8.189462,0.00000544
8.188057,0.00000546
8.186651,0.00000547
8.185246,0.00000548
8.183840,0.00000550
8.182434,0.00000551
8.181029,0.00000553
8.179623,0.00000554
8.178218,0.00000556
8.176812,0.00000557
8.175406,0.00000559
8.174001,0.00000560
8.172595,0.00000562
8.171190,0.00000563
8.169784,0.00000565
8.168379,0.00000567
8.166973,0.00000568
8.165567,0.00000570
8.164162,0.00000571
8.162756,0.00000573
8.161351,0.00000574
8.159945,0.00000576
8.158539,0.00000578
8.157134,0.00000579
8.155728,0.00000581
8.154323,0.00000582
8.152917,0.00000584
8.151511,0.00000586
8.150106,0.00000587
8.148700,0.00000589
8.147295,0.00000591
8.145889,0.00000592
8.144484,0.00000594
8.143078,0.00000596
8.141672,0.00000597
8.140267,0.00000599
8.138861,0.00000601
8.137456,0.00000602
8.136050,0.00000604
8.134644,0.00000606
8.133239,0.00000607
8.131833,0.00000609
8.130428,0.00000611
8.129022,0.00000613
8.127617,0.00000614
8.126211,0.00000616
8.124805,0.00000618
8.123400,0.00000620
8.121994,0.00000622
8.120589,0.00000623
8.119183,0.00000625
8.117777,0.00000627
8.116372,0.00000629
8.114966,0.00000631
8.113561,0.00000632
8.112155,0.00000634
8.110749,0.00000636
8.109344,0.00000638
8.107938,0.00000640
8.106533,0.00000642
8.105127,0.00000644
8.103722,0.00000645
8.102316,0.00000647
8.100910,0.00000649
8.099505,0.00000651
8.098099,0.00000653
8.096694,0.00000655
8.095288,0.00000657
8.093882,0.00000659
8.092477,0.00000661
8.091071,0.00000663
8.089666,0.00000665
8.088260,0.00000667
8.086854,0.00000669
8.085449,0.00000671
8.084043,0.00000673
8.082638,0.00000675
8.081232,0.00000677
8.079827,0.00000679
8.078421,0.00000681
8.077015,0.00000683
8.075610,0.00000685
8.074204,0.00000687
8.072799,0.00000689
8.071393,0.00000692
8.069987,0.00000694
8.068582,0.00000696
8.067176,0.00000698
8.065771,0.00000700
8.064365,0.00000702
8.062959,0.00000704
8.061554,0.00000707
8.060148,0.00000709
8.058743,0.00000711
8.057337,0.00000713
8.055932,0.00000715
8.054526,0.00000718
8.053120,0.00000720
8.051715,0.00000722
8.050309,0.00000724
8.048904,0.00000727
8.047498,0.00000729
8.046092,0.00000731
8.044687,0.00000734
8.043281,0.00000736
8.041876,0.00000738
8.040470,0.00000741
8.039064,0.00000743
8.037659,0.00000745
8.036253,0.00000748
8.034848,0.00000750
8.033442,0.00000753
8.032037,0.00000755
8.030631,0.00000757
8.029225,0.00000760
8.027820,0.00000762
8.026414,0.00000765
8.025009,0.00000767
8.023603,0.00000770
8.022197,0.00000772
8.020792,0.00000775
8.019386,0.00000777
8.017981,0.00000780
8.016575,0.00000782
8.015169,0.00000785
8.013764,0.00000787
8.012358,0.00000790
8.010953,0.00000793
8.009547,0.00000795
8.008142,0.00000798
8.006736,0.00000801
8.005330,0.00000803
8.003925,0.00000806
8.002519,0.00000809
8.001114,0.00000811
7.999708,0.00000814
7.998302,0.00000817
7.996897,0.00000820
7.995491,0.00000822
7.994086,0.00000825
7.992680,0.00000828
7.991274,0.00000831
7.989869,0.00000833
7.988463,0.00000836
7.987058,0.00000839
7.985652,0.00000842
7.984247,0.00000845
7.982841,0.00000848
7.981435,0.00000851
7.980030,0.00000854
7.978624,0.00000857
7.977219,0.00000859
7.975813,0.00000862
7.974407,0.00000865
7.973002,0.00000868
7.971596,0.00000871
7.970191,0.00000874
7.968785,0.00000878
7.967379,0.00000881
7.965974,0.00000884
7.964568,0.00000887
7.963163,0.00000890
7.961757,0.00000893
7.960352,0.00000896
7.958946,0.00000899
7.957540,0.00000903
7.956135,0.00000906
7.954729,0.00000909
7.953324,0.00000912
7.951918,0.00000915
7.950512,0.00000919
7.949107,0.00000922
7.947701,0.00000925
7.946296,0.00000929
7.944890,0.00000932
7.943484,0.00000935
7.942079,0.00000939
7.940673,0.00000942
7.939268,0.00000946
7.937862,0.00000949
7.936457,0.00000953
7.935051,0.00000956
7.933645,0.00000960
7.932240,0.00000963
7.930834,0.00000967
7.929429,0.00000970
7.928023,0.00000974
7.926617,0.00000977
7.925212,0.00000981
7.923806,0.00000985
7.922401,0.00000988
7.920995,0.00000992
7.919589,0.00000996
7.918184,0.00000999
7.916778,0.00001003
7.915373,0.00001007
7.913967,0.00001011
7.912562,0.00001015
7.911156,0.00001018
7.909750,0.00001022
7.908345,0.00001026
7.906939,0.00001030
7.905534,0.00001034
7.904128,0.00001038
7.902722,0.00001042
7.901317,0.00001046
7.899911,0.00001050
7.898506,0.00001054
7.897100,0.00001058
7.895694,0.00001062
7.894289,0.00001066
7.892883,0.00001070
7.891478,0.00001075
7.890072,0.00001079
7.888667,0.00001083
7.887261,0.00001087
7.885855,0.00001091
7.884450,0.00001096
7.883044,0.00001100
7.881639,0.00001104
7.880233,0.00001109
7.878827,0.00001113
7.877422,0.00001118
7.876016,0.00001122
7.874611,0.00001127
7.873205,0.00001131
7.871799,0.00001136
7.870394,0.00001140
7.868988,0.00001145
7.867583,0.00001149
7.866177,0.00001154
7.864772,0.00001159
7.863366,0.00001163
