ppm,intensity
-81.294753,0.00000003
-81.306422,0.00000003
-81.318091,0.00000003
-81.329759,0.00000003
-81.341428,0.00000003
-81.353096,0.00000003
-81.364765,0.00000003
-81.376434,0.00000003
-81.388102,0.00000003
-81.399771,0.00000003
-81.411440,0.00000003
-81.423108,0.00000003
-81.434777,0.00000003
-81.446445,0.00000003
-81.458114,0.00000003
-81.469783,0.00000003
-81.481451,0.00000003
-81.493120,0.00000003
-81.504788,0.00000003
-81.516457,0.00000003
-81.528126,0.00000003
-81.539794,0.00000003
-81.551463,0.00000003
-81.563131,0.00000003
-81.574800,0.00000003
-81.586469,0.00000003
-81.598137,0.00000003
-81.609806,0.00000003
-81.621475,0.00000003
-81.633143,0.00000003
-81.644812,0.00000003
-81.656480,0.00000003
-81.668149,0.00000003
-81.679818,0.00000003
-81.691486,0.00000003
-81.703155,0.00000003
-81.714823,0.00000003
-81.726492,0.00000003
-81.738161,0.00000003
-81.749829,0.00000003
-81.761498,0.00000003
-81.773166,0.00000003
-81.784835,0.00000003
-81.796504,0.00000003
-81.808172,0.00000003
-81.819841,0.00000003
-81.831510,0.00000003
-81.843178,0.00000003
-81.854847,0.00000003
-81.866515,0.00000003
-81.878184,0.00000003
-81.889853,0.00000003
-81.901521,0.00000003
-81.913190,0.00000003
-81.924858,0.00000003
-81.936527,0.00000003
-81.948196,0.00000003
-81.959864,0.00000003
-81.971533,0.00000003
-81.983201,0.00000003
-81.994870,0.00000003
-82.006539,0.00000003
-82.018207,0.00000003
-82.029876,0.00000003
-82.041545,0.00000003
-82.053213,0.00000003
-82.064882,0.00000003
-82.076550,0.00000003
-82.088219,0.00000003
-82.099888,0.00000003
-82.111556,0.00000003
-82.123225,0.00000003
-82.134893,0.00000003
-82.146562,0.00000003
-82.158231,0.00000003
-82.169899,0.00000003
-82.181568,0.00000003
-82.193236,0.00000003
-82.204905,0.00000003
-82.216574,0.00000003
-82.228242,0.00000003
-82.239911,0.00000003
-82.251580,0.00000003
-82.263248,0.00000003
-82.274917,0.00000003
-82.286585,0.00000003
-82.298254,0.00000003
-82.309923,0.00000003
-82.321591,0.00000003
-82.333260,0.00000003
-82.344928,0.00000003
-82.356597,0.00000003
-82.368266,0.00000003
-82.379934,0.00000003
-82.391603,0.00000003
-82.403271,0.00000003
-82.414940,0.00000003
-82.426609,0.00000003
-82.438277,0.00000003
-82.449946,0.00000003
-82.461615,0.00000003
-82.473283,0.00000003
-82.484952,0.00000003
-82.496620,0.00000003
-82.508289,0.00000003
-82.519958,0.00000003
-82.531626,0.00000003
-82.543295,0.00000003
-82.554963,0.00000003
-82.566632,0.00000003
-82.578301,0.00000003
-82.589969,0.00000003
-82.601638,0.00000003
-82.613307,0.00000003
