ppm,intensity
65.060156,0.00000003
65.045154,0.00000003
65.030151,0.00000003
65.015149,0.00000003
65.000146,0.00000003
64.985144,0.00000003
64.970141,0.00000003
64.955139,0.00000003
64.940136,0.00000003
64.925134,0.00000003
64.910131,0.00000003
64.895129,0.00000003
64.880126,0.00000003
64.865124,0.00000003
64.850121,0.00000003
64.835119,0.00000003
64.820116,0.00000003
64.805114,0.00000003
64.790111,0.00000003
64.775109,0.00000003
64.760106,0.00000003
64.745104,0.00000003
64.730101,0.00000003
64.715099,0.00000003
64.700096,0.00000003
64.685094,0.00000003
64.670091,0.00000003
64.655089,0.00000003
64.640086,0.00000003
64.625084,0.00000003
64.610081,0.00000003
64.595079,0.00000003
64.580076,0.00000003
64.565074,0.00000003
64.550071,0.00000003
64.535069,0.00000003
64.520066,0.00000003
64.505064,0.00000003
64.490061,0.00000003
64.475059,0.00000003
64.460056,0.00000003
64.445054,0.00000003
64.430051,0.00000003
64.415049,0.00000003
64.400046,0.00000003
64.385044,0.00000003
64.370041,0.00000003
64.355039,0.00000003
64.340036,0.00000003
64.325034,0.00000003
64.310031,0.00000003
64.295029,0.00000003
64.280026,0.00000003
64.265024,0.00000003
64.250021,0.00000003
64.235019,0.00000003
64.220016,0.00000003
64.205014,0.00000003
64.190011,0.00000003
64.175009,0.00000003
64.160006,0.00000003
64.145004,0.00000003
64.130001,0.00000003
64.114999,0.00000003
64.099996,0.00000003
64.084994,0.00000003
64.069991,0.00000003
64.054989,0.00000003
64.039986,0.00000003
64.024984,0.00000003
64.009981,0.00000003
63.994979,0.00000003
63.979976,0.00000003
63.964974,0.00000003
63.949971,0.00000003
63.934969,0.00000003
63.919966,0.00000003
63.904964,0.00000003
63.889961,0.00000003
63.874959,0.00000003
63.859956,0.00000003
63.844954,0.00000003
63.829951,0.00000003
63.814949,0.00000003
63.799946,0.00000003
63.784944,0.00000003
63.769941,0.00000003
63.754939,0.00000003
63.739936,0.00000003
63.724934,0.00000003
63.709931,0.00000003
63.694929,0.00000003
63.679926,0.00000003
63.664924,0.00000003
63.649921,0.00000003
63.634919,0.00000003
63.619916,0.00000003
63.604914,0.00000003
63.589911,0.00000003
63.574909,0.00000003
63.559906,0.00000003
63.544904,0.00000003
63.529901,0.00000003
63.514899,0.00000003
63.499896,0.00000003
63.484894,0.00000003
63.469891,0.00000003
63.454889,0.00000003
63.439886,0.00000003
63.424884,0.00000003
63.409881,0.00000003
63.394879,0.00000003
63.379876,0.00000003
63.364874,0.00000003
63.349871,0.00000003
63.334869,0.00000003
63.319866,0.00000003
63.304864,0.00000003
63.289861,0.00000003
63.274859,0.00000003
63.259856,0.00000003
63.244854,0.00000003
63.229851,0.00000003
63.214849,0.00000003
63.199846,0.00000003
63.184844,0.00000003
63.169841,0.00000003
63.154839,0.00000003
63.139836,0.00000003
63.124834,0.00000003
63.109831,0.00000003
63.094829,0.00000003
63.079826,0.00000003
63.064824,0.00000003
63.049821,0.00000003
63.034819,0.00000003
63.019816,0.00000003
63.004814,0.00000003
62.989811,0.00000003
62.974809,0.00000003
62.959806,0.00000003
62.944804,0.00000003
62.929801,0.00000003
62.914799,0.00000003
62.899796,0.00000003
62.884794,0.00000003
62.869791,0.00000003
62.854789,0.00000003
62.839786,0.00000003
62.824784,0.00000003
62.809781,0.00000003
62.794779,0.00000003
62.779776,0.00000003
62.764774,0.00000003
62.749771,0.00000003
62.734769,0.00000003
62.719766,0.00000003
62.704764,0.00000003
62.689761,0.00000003
62.674759,0.00000003
62.659756,0.00000003
62.644754,0.00000003
62.629751,0.00000003
62.614749,0.00000003
62.599746,0.00000003
62.584744,0.00000003
62.569741,0.00000003
62.554739,0.00000003
62.539736,0.00000003
62.524734,0.00000003
62.509731,0.00000003
62.494729,0.00000003
62.479726,0.00000003
62.464724,0.00000003
62.449721,0.00000003
62.434719,0.00000003
62.419716,0.00000003
62.404714,0.00000003
62.389711,0.00000003
62.374709,0.00000003
62.359706,0.00000003
62.344704,0.00000003
62.329701,0.00000003
62.314699,0.00000003
62.299696,0.00000003
62.284694,0.00000003
62.269691,0.00000003
62.254689,0.00000003
62.239686,0.00000003
62.224684,0.00000003
62.209681,0.00000003
62.194679,0.00000003
62.179676,0.00000003
62.164674,0.00000003
62.149671,0.00000003
62.134669,0.00000003
62.119666,0.00000003
62.104664,0.00000003
62.089661,0.00000003
62.074659,0.00000003
62.059656,0.00000003
62.044654,0.00000003
62.029651,0.00000003
62.014649,0.00000003
61.999646,0.00000003
61.984644,0.00000003
61.969641,0.00000003
61.954639,0.00000003
61.939636,0.00000003
61.924634,0.00000003
61.909631,0.00000003
61.894629,0.00000003
61.879626,0.00000003
61.864624,0.00000003
61.849621,0.00000003
61.834619,0.00000003
61.819616,0.00000003
61.804614,0.00000003
61.789611,0.00000003
61.774609,0.00000003
61.759606,0.00000003
61.744604,0.00000003
61.729601,0.00000003
61.714599,0.00000003
61.699596,0.00000003
61.684594,0.00000003
61.669591,0.00000003
61.654589,0.00000003
61.639586,0.00000003
61.624584,0.00000003
61.609581,0.00000003
61.594579,0.00000003
61.579576,0.00000003
61.564574,0.00000003
61.549571,0.00000003
61.534569,0.00000003
61.519566,0.00000003
61.504564,0.00000003
61.489561,0.00000003
61.474559,0.00000003
61.459556,0.00000003
61.444554,0.00000003
61.429551,0.00000003
61.414549,0.00000003
61.399546,0.00000003
61.384544,0.00000003
61.369541,0.00000003
61.354539,0.00000003
61.339536,0.00000003
61.324534,0.00000003
61.309531,0.00000003
61.294529,0.00000003
61.279526,0.00000003
61.264524,0.00000003
61.249521,0.00000003
61.234519,0.00000003
61.219516,0.00000003
61.204514,0.00000003
61.189511,0.00000003
61.174509,0.00000003
61.159506,0.00000003
61.144504,0.00000003
61.129501,0.00000003
61.114499,0.00000003
61.099496,0.00000003
61.084494,0.00000003
61.069491,0.00000003
61.054489,0.00000003
61.039486,0.00000003
61.024484,0.00000003
61.009481,0.00000003
60.994479,0.00000003
60.979476,0.00000003
60.964474,0.00000003
60.949471,0.00000003
60.934469,0.00000003
60.919466,0.00000003
60.904464,0.00000003
60.889461,0.00000003
60.874459,0.00000003
60.859456,0.00000003
60.844454,0.00000003
60.829451,0.00000003
60.814449,0.00000003
60.799446,0.00000003
60.784444,0.00000003
60.769441,0.00000003
60.754439,0.00000003
60.739436,0.00000003
60.724434,0.00000003
60.709431,0.00000003
60.694429,0.00000004
60.679426,0.00000004
60.664424,0.00000004
60.649421,0.00000004
60.634419,0.00000004
60.619416,0.00000004
60.604414,0.00000004
60.589411,0.00000004
60.574409,0.00000004
60.559406,0.00000004
60.544404,0.00000004
60.529401,0.00000004
60.514399,0.00000004
60.499396,0.00000004
60.484394,0.00000004
60.469391,0.00000004
60.454389,0.00000004
60.439386,0.00000004
60.424384,0.00000004
60.409381,0.00000004
60.394379,0.00000004
60.379376,0.00000004
60.364374,0.00000004
60.349371,0.00000004
60.334369,0.00000004
60.319366,0.00000004
60.304364,0.00000004
60.289361,0.00000004
60.274359,0.00000004
60.259356,0.00000004
60.244354,0.00000004
60.229351,0.00000004
60.214349,0.00000004
60.199346,0.00000004
60.184344,0.00000004
60.169341,0.00000004
60.154339,0.00000004
60.139336,0.00000004
60.124334,0.00000004
60.109331,0.00000004
60.094329,0.00000004
60.079326,0.00000004
60.064324,0.00000004
60.049321,0.00000004
60.034319,0.00000004
60.019316,0.00000004
60.004314,0.00000004
59.989311,0.00000004
59.974309,0.00000004
59.959306,0.00000004
59.944304,0.00000004
59.929301,0.00000004
59.914299,0.00000004
59.899296,0.00000004
59.884294,0.00000004
59.869291,0.00000004
59.854289,0.00000004
59.839286,0.00000004
59.824284,0.00000004
59.809281,0.00000004
59.794279,0.00000004
59.779276,0.00000004
59.764274,0.00000004
59.749271,0.00000004
59.734269,0.00000004
59.719266,0.00000004
59.704264,0.00000004
59.689261,0.00000004
59.674259,0.00000004
59.659256,0.00000004
59.644254,0.00000004
59.629251,0.00000004
59.614249,0.00000004
59.599246,0.00000004
59.584244,0.00000004
59.569241,0.00000004
59.554239,0.00000004
59.539236,0.00000004
59.524234,0.00000004
59.509231,0.00000004
59.494229,0.00000004
59.479226,0.00000004
59.464224,0.00000004
59.449221,0.00000004
59.434219,0.00000004
59.419216,0.00000004
59.404214,0.00000004
59.389211,0.00000004
59.374209,0.00000004
59.359206,0.00000004
59.344204,0.00000004
59.329201,0.00000004
59.314199,0.00000004
59.299196,0.00000004
59.284194,0.00000004
59.269191,0.00000004
59.254189,0.00000004
59.239186,0.00000004
59.224184,0.00000004
59.209181,0.00000004
59.194179,0.00000004
59.179176,0.00000004
59.164174,0.00000004
59.149171,0.00000004
59.134169,0.00000004
59.119166,0.00000004
59.104164,0.00000004
59.089161,0.00000004
59.074159,0.00000004
59.059156,0.00000004
59.044154,0.00000004
59.029151,0.00000004
59.014149,0.00000004
58.999146,0.00000004
58.984144,0.00000004
58.969141,0.00000004
58.954139,0.00000004
58.939136,0.00000004
58.924134,0.00000004
58.909131,0.00000004
58.894129,0.00000004
58.879126,0.00000004
58.864124,0.00000004
58.849121,0.00000004
58.834119,0.00000004
58.819116,0.00000004
58.804114,0.00000004
58.789111,0.00000004
58.774109,0.00000004
58.759106,0.00000004
58.744104,0.00000004
58.729101,0.00000004
58.714099,0.00000004
58.699096,0.00000004
58.684094,0.00000004
58.669091,0.00000004
58.654089,0.00000004
58.639086,0.00000004
58.624084,0.00000004
58.609081,0.00000004
58.594079,0.00000004
58.579076,0.00000004
