ppm,intensity
8.390462,0.00000194
8.389057,0.00000195
8.387653,0.00000195
8.386249,0.00000195
8.384845,0.00000196
8.383441,0.00000196
8.382036,0.00000197
8.380632,0.00000197
8.379228,0.00000198
8.377824,0.00000198
8.376420,0.00000199
8.375015,0.00000199
8.373611,0.00000199
8.372207,0.00000200
8.370803,0.00000200
8.369399,0.00000201
8.367994,0.00000201
8.366590,0.00000202
8.365186,0.00000202
8.363782,0.00000203
8.362378,0.00000203
8.360973,0.00000204
8.359569,0.00000204
8.358165,0.00000205
8.356761,0.00000205
8.355356,0.00000205
8.353952,0.00000206
8.352548,0.00000206
8.351144,0.00000207
8.349740,0.00000207
8.348335,0.00000208
8.346931,0.00000208
8.345527,0.00000209
8.344123,0.00000209
8.342719,0.00000210
8.341314,0.00000210
8.339910,0.00000211
8.338506,0.00000211
8.337102,0.00000212
8.335698,0.00000212
8.334293,0.00000213
8.332889,0.00000213
8.331485,0.00000214
8.330081,0.00000214
8.328677,0.00000215
8.327272,0.00000215
8.325868,0.00000216
8.324464,0.00000216
8.323060,0.00000217
8.321655,0.00000217
8.320251,0.00000218
8.318847,0.00000218
8.317443,0.00000219
8.316039,0.00000220
8.314634,0.00000220
8.313230,0.00000221
8.311826,0.00000221
8.310422,0.00000222
8.309018,0.00000222
8.307613,0.00000223
8.306209,0.00000223
8.304805,0.00000224
8.303401,0.00000224
8.301997,0.00000225
8.300592,0.00000225
8.299188,0.00000226
8.297784,0.00000227
8.296380,0.00000227
8.294976,0.00000228
8.293571,0.00000228
8.292167,0.00000229
8.290763,0.00000229
8.289359,0.00000230
8.287954,0.00000230
8.286550,0.00000231
8.285146,0.00000232
8.283742,0.00000232
8.282338,0.00000233
8.280933,0.00000233
8.279529,0.00000234
8.278125,0.00000235
8.276721,0.00000235
8.275317,0.00000236
8.273912,0.00000236
8.272508,0.00000237
8.271104,0.00000237
8.269700,0.00000238
8.268296,0.00000239
8.266891,0.00000239
8.265487,0.00000240
8.264083,0.00000240
8.262679,0.00000241
8.261275,0.00000242
8.259870,0.00000242
8.258466,0.00000243
8.257062,0.00000244
8.255658,0.00000244
8.254253,0.00000245
8.252849,0.00000245
8.251445,0.00000246
8.250041,0.00000247
8.248637,0.00000247
8.247232,0.00000248
8.245828,0.00000249
8.244424,0.00000249
8.243020,0.00000250
8.241616,0.00000251
8.240211,0.00000251
8.238807,0.00000252
8.237403,0.00000252
8.235999,0.00000253
8.234595,0.00000254
8.233190,0.00000254
8.231786,0.00000255
8.230382,0.00000256
8.228978,0.00000256
8.227574,0.00000257
8.226169,0.00000258
8.224765,0.00000258
8.223361,0.00000259
8.221957,0.00000260
8.220552,0.00000261
8.219148,0.00000261
8.217744,0.00000262
8.216340,0.00000263
8.214936,0.00000263
8.213531,0.00000264
8.212127,0.00000265
8.210723,0.00000265
8.209319,0.00000266
8.207915,0.00000267
8.206510,0.00000268
8.205106,0.00000268
8.203702,0.00000269
8.202298,0.00000270
8.200894,0.00000270
8.199489,0.00000271
8.198085,0.00000272
8.196681,0.00000273
8.195277,0.00000273
8.193873,0.00000274
8.192468,0.00000275
8.191064,0.00000276
8.189660,0.00000276
8.188256,0.00000277
8.186851,0.00000278
8.185447,0.00000279
8.184043,0.00000279
8.182639,0.00000280
8.181235,0.00000281
8.179830,0.00000282
8.178426,0.00000282
8.177022,0.00000283
8.175618,0.00000284
8.174214,0.00000285
8.172809,0.00000286
8.171405,0.00000286
8.170001,0.00000287
8.168597,0.00000288
8.167193,0.00000289
8.165788,0.00000290
8.164384,0.00000290
8.162980,0.00000291
8.161576,0.00000292
8.160172,0.00000293
8.158767,0.00000294
8.157363,0.00000295
8.155959,0.00000295
8.154555,0.00000296
8.153150,0.00000297
8.151746,0.00000298
8.150342,0.00000299
8.148938,0.00000300
8.147534,0.00000300
8.146129,0.00000301
8.144725,0.00000302
8.143321,0.00000303
8.141917,0.00000304
8.140513,0.00000305
8.139108,0.00000306
8.137704,0.00000307
8.136300,0.00000307
8.134896,0.00000308
8.133492,0.00000309
8.132087,0.00000310
8.130683,0.00000311
8.129279,0.00000312
8.127875,0.00000313
8.126471,0.00000314
8.125066,0.00000315
8.123662,0.00000316
8.122258,0.00000317
8.120854,0.00000317
8.119450,0.00000318
8.118045,0.00000319
8.116641,0.00000320
8.115237,0.00000321
