x,intensity
-96.021517,0.00863781
-96.043893,0.00602577
-96.067690,0.00000000
-96.091311,0.01126447
-96.114070,0.00000000
-96.136692,0.00215598
-96.160210,0.00000000
-96.183198,0.00000000
-96.206777,0.00718483
-96.231003,0.01261135
-96.253692,0.01720825
-96.277788,0.00641066
-96.299880,0.00150983
-96.324441,0.00000000
-96.347964,0.00000000
-96.370728,0.00000000
-96.393996,0.00639097
-96.418146,0.00648700
-96.441278,0.00000000
-96.464475,0.00000000
-96.487926,0.01408131
-96.510150,0.00044111
-96.534070,0.00000000
-96.556302,0.00011013
-96.580627,0.00000000
-96.603743,0.00000000
-96.627447,0.00000000
-96.651182,0.01106251
-96.675021,0.02338687
-96.697655,0.00000000
-96.720752,0.00768504
-96.744631,0.00000000
-96.766609,0.00335119
-96.790717,0.00000000
-96.814023,0.00368063
-96.838020,0.00888850
-96.860912,0.00000000
-96.884265,0.00000000
-96.907019,0.00845917
-96.931565,0.01730889
-96.953784,0.00000000
-96.978146,0.00000000
-97.001468,0.00000000
-97.024031,0.00000000
-97.047995,0.02467383
-97.071714,0.00192150
-97.093141,0.00613466
-97.118469,0.00000000
-97.141405,0.00000000
-97.164955,0.00000000
-97.188433,0.00938531
-97.210722,0.01278986
-97.232994,0.00833873
-97.256515,0.01953483
-97.280993,0.01418260
-97.302946,0.00391914
-97.326886,0.00000000
-97.350823,0.00685925
-97.374477,0.00000000
-97.396528,0.00000000
-97.419863,0.00218677
-97.443301,0.00000000
-97.466208,0.00000000
-97.491132,0.00000000
-97.514029,0.02094210
-97.536483,0.01676884
-97.559864,0.00351125
-97.583753,0.00981337
-97.607404,0.00005978
-97.631857,0.00723051
-97.655129,0.00231976
-97.676371,0.01129208
-97.701065,0.00487729
-97.724130,0.00000000
-97.747534,0.01515094
-97.769902,0.00568455
-97.794139,0.00000000
-97.818334,0.00000000
-97.841786,0.00000000
-97.864537,0.00824009
-97.886918,0.01184236
-97.909669,0.00554072
-97.933409,0.00000000
-97.958407,0.01418986
-97.980729,0.00000000
-98.004327,0.00187069
-98.026977,0.00000000
-98.051708,0.00376279
-98.074538,0.00000000
-98.097385,0.00344973
-98.120264,0.02093868
-98.144750,0.00120658
-98.166797,0.00157311
-98.189922,0.00000000
-98.214404,0.00539766
-98.238334,0.00000000
-98.260145,0.00841164
-98.283048,0.00847072
-98.308407,0.00000000
-98.330125,0.00238622
-98.354638,0.00000000
-98.378357,0.00000000
-98.400572,0.00000000
-98.424830,0.00000000
-98.447867,0.00000000
-98.470489,0.00000000
-98.493610,0.00000000
-98.517081,0.00933781
-98.540473,0.00000000
-98.563619,0.01473463
-98.588403,0.01057599
-98.610368,0.02406814
-98.634699,0.00000000
-98.658253,0.01471201
-98.681857,0.00000000
-98.705060,0.00000000
-98.727114,0.00000000
-98.749915,0.01308236
-98.775192,0.00000000
-98.797819,0.00000000
-98.820995,0.00000000
-98.844979,0.00000000
-98.866746,0.00435027
-98.890264,0.00279909
-98.913857,0.00276356
-98.936558,0.01763739
-98.961661,0.00175935
-98.983852,0.00000000
-99.007777,0.00000000
-99.031452,0.00000000
-99.053656,0.00000000
-99.077118,0.02256289
-99.101275,0.00000000
-99.124704,0.00045020
-99.147811,0.00000000
-99.170151,0.00000000
-99.194122,0.00247584
-99.216880,0.02047776
-99.242154,0.01300551
-99.264394,0.00617030
-99.288394,0.00667369
-99.311106,0.00000000
-99.333667,0.00000000
-99.357526,0.01458358
-99.380970,0.00000000
-99.404805,0.01875887
-99.427325,0.00000000
-99.451008,0.00140112
-99.473414,0.00000000
-99.498756,0.00000000
-99.521317,0.00057851
-99.544392,0.00000000
-99.566940,0.00000000
-99.592085,0.00000000
-99.615009,0.00817486
-99.638548,0.00000000
-99.661210,0.00000000
-99.685400,0.00000000
-99.707068,0.00000000
-99.730977,0.00000000
-99.754510,0.00693377
-99.777000,0.00000000
-99.800051,0.00877958
-99.824070,0.00000000
-99.846606,0.00268195
-99.871171,0.00000000
-99.894293,0.00000000
-99.918590,0.00966221
-99.941116,0.01117299
-99.965377,0.00199335
-99.988440,0.01229716
-100.010888,0.00000000
-100.035546,0.01164376
-100.058551,0.00347981
-100.081282,0.00000000
-100.103603,0.00144718
-100.128155,0.01027365
-100.151135,0.00349860
-100.175078,0.01672390
-100.198914,0.01183994
-100.219988,0.00000000
-100.243408,0.00000000
-100.267411,0.00583314
-100.290019,0.00000000
-100.314162,0.00170390
-100.337547,0.01696664
-100.361777,0.00000000
-100.384083,0.00836478
-100.407466,0.00586363
-100.430075,0.00443300
-100.453874,0.00000000
-100.478397,0.01554471
-100.502137,0.00639683
-100.524588,0.00000000
-100.547546,0.01178618
-100.570160,0.00000000
-100.593805,0.00000000
-100.617471,0.00000000
-100.641619,0.00453767
-100.664086,0.00000000
-100.687345,0.00003849
-100.710273,0.00000000
-100.734843,0.00403807
-100.759067,0.00070276
-100.780909,0.01363012
-100.803984,0.00928585
-100.826779,0.00000000
-100.851241,0.00000000
-100.874651,0.00000000
-100.897462,0.01648164
-100.921452,0.00949791
-100.944235,0.00895710
-100.968254,0.01427527
-100.991942,0.01653327
-101.015593,0.00000000
-101.037042,0.00000000
-101.061616,0.00000000
-101.083886,0.00611343
-101.108897,0.00000000
-101.130314,0.00264191
-101.155005,0.00480818
-101.177509,0.00000000
-101.202395,0.00000000
-101.225545,0.00671034
-101.247012,0.01767682
-101.271885,0.00000000
-101.295098,0.00152812
-101.318279,0.00000000
-101.342505,0.00619379
-101.364909,0.02338982
-101.387541,0.00000000
-101.411496,0.00000000
-101.435648,0.00000000
-101.456905,0.00000000
-101.481144,0.00491667
-101.505225,0.00488227
-101.527928,0.00000000
-101.550804,0.00000000
-101.575412,0.00000000
-101.597299,0.00310410
-101.620248,0.00000000
-101.644509,0.00261508
-101.668894,0.02287042
-101.692143,0.00872865
-101.714319,0.00000000
-101.737276,0.00000000
-101.761885,0.00079272
-101.784234,0.00000000
-101.808950,0.00000000
-101.832337,0.00189764
-101.854350,0.00000000
-101.877090,0.01222759
-101.900449,0.00824758
-101.924268,0.00000000
-101.947604,0.00000000
-101.971990,0.01443181
-101.995754,0.00000000
-102.017374,0.00000000
-102.041284,0.00000000
-102.063916,0.00000000
-102.087060,0.01242628
-102.111555,0.00582549
-102.134959,0.00000000
-102.157056,0.00405446
-102.182459,0.00865286
-102.205538,0.00215372
-102.227844,0.00000000
-102.251716,0.00648906
-102.273654,0.00000000
-102.299263,0.00044984
-102.320600,0.00000000
-102.345656,0.00475726
-102.369021,0.00000000
-102.391607,0.00000000
-102.414744,0.00000000
-102.438113,0.00312102
-102.460735,0.01107519
-102.484664,0.00000000
-102.507710,0.00000000
-102.530812,0.00283313
-102.554011,0.00000000
-102.577344,0.00000000
-102.601087,0.00140032
-102.624304,0.00000000
-102.648543,0.00663687
-102.672341,0.00000000
-102.695304,0.00034361
-102.719253,0.00000000
-102.741062,0.00000000
-102.764495,0.00000000
-102.788371,0.00000000
-102.811023,0.00003083
-102.834748,0.00522859
-102.857095,0.02127938
-102.881750,0.00870295
-102.904889,0.00000000
-102.928376,0.01344314
-102.951250,0.01148772
-102.974898,0.00000000
-102.997784,0.00000000
-103.020673,0.00490083
-103.044473,0.00000000
-103.068709,0.00000000
-103.090783,0.02083436
-103.114062,0.00010619
-103.139401,0.00109951
-103.161732,0.00000000
-103.185409,0.00432833
-103.207936,0.00000000
-103.231408,0.00000000
-103.254816,0.01402856
-103.279098,0.00000000
-103.301297,0.01481540
-103.325753,0.01640301
-103.347385,0.00551859
-103.371855,0.00000000
-103.395854,0.00000000
-103.418164,0.00000000
-103.441390,0.00267895
-103.465206,0.00471803
-103.488828,0.00000000
-103.511377,0.00000000
-103.534145,0.00000000
-103.559536,0.01288516
-103.582142,0.00000000
-103.606119,0.00000000
-103.628395,0.00000000
-103.652871,0.00000000
-103.673978,0.00000000
-103.699181,0.00000000
-103.722762,0.00000000
-103.744111,0.00999000
-103.769500,0.00000000
-103.791427,0.00081770
-103.815023,0.00000000
-103.839564,0.02018195
-103.862395,0.00000000
-103.884390,0.00000000
-103.908276,0.00101488
-103.932023,0.00000000
