x,intensity
449.449410,-0.01172966
449.290767,0.02718108
449.283997,0.01453122
449.157376,-0.00823754
449.102998,0.00553843
449.055081,0.01979875
448.979464,0.00041352
448.982687,0.00256371
448.882115,-0.00815232
448.855743,-0.01939158
448.776252,0.00893433
448.726332,0.00281341
448.682860,0.00500506
448.553193,0.01979051
448.517834,-0.00050693
448.380752,0.00358189
448.362320,-0.00190909
448.311350,-0.01033854
448.300940,-0.01459225
448.160234,-0.00169369
448.068267,0.02256746
448.026433,0.00220987
447.942773,0.00516795
447.880413,0.00750889
447.800470,-0.00174936
447.814679,-0.00021095
447.715059,-0.00166277
447.647356,0.00857111
447.584026,0.00190189
447.559051,0.01701603
447.438164,-0.00492381
447.373614,-0.01265739
447.328648,0.01167009
447.286131,-0.00561651
447.259134,-0.01447569
447.200228,0.00061705
447.026430,0.00191703
446.999364,-0.00375487
446.916903,-0.01192789
446.939161,0.00640700
446.840453,0.00173344
446.717559,0.01226822
446.642626,0.01458658
446.678893,0.00466990
446.544832,0.00285144
446.533503,-0.00436275
446.399525,-0.00557624
446.342397,0.01885897
446.271201,0.01390443
446.264225,-0.01108773
446.187190,-0.00585677
446.095099,0.00299760
446.015265,0.00202355
445.966735,-0.00073102
445.872313,-0.00630494
445.812708,0.00885327
445.797540,-0.00696710
445.706832,-0.00225917
445.710724,-0.00456263
445.553800,0.00102326
445.578682,-0.00946454
445.494731,-0.00246272
445.458349,0.00571043
445.399209,-0.01230276
445.281362,0.00613136
445.207242,-0.00507817
445.166092,0.00730546
445.127886,0.00107937
444.984069,-0.00079089
444.991096,0.00038281
444.900563,-0.00735318
444.806521,0.00532648
444.805106,0.00368394
444.724934,0.00690456
444.629438,-0.01051410
444.619963,-0.01465922
444.540086,-0.00256160
444.406916,-0.00211714
444.329612,0.01251228
444.368057,0.00992340
444.253162,-0.00143570
444.250509,-0.01394314
444.081731,-0.00647788
444.021020,0.00166508
443.983211,-0.00216593
443.901641,-0.00349943
443.843414,-0.00890042
443.795074,-0.00296036
443.744979,-0.00919603
443.691408,-0.00025791
443.655684,0.00497452
443.494675,-0.00736532
443.431506,-0.00887251
443.364776,0.01335982
443.401333,0.00979245
443.301961,0.00392083
443.167485,-0.00638200
443.219775,-0.00981821
443.156406,0.00303748
442.974421,-0.01679665
442.958217,-0.00720968
442.934065,-0.00669070
442.795703,0.00595411
442.721924,0.01498968
442.758242,-0.01215858
442.677045,0.00849650
442.586621,-0.00385249
442.495419,0.00956016
442.412415,0.00004179
442.370298,0.01141050
442.328935,-0.00325242
442.233653,0.01301703
442.247435,-0.00259988
442.186280,0.00267961
442.030843,-0.00724380
441.979501,0.00069660
441.997882,0.00249405
441.874223,0.00138994
441.776809,0.02126795
441.741692,0.01802172
441.663271,-0.01616201
441.567289,-0.00375454
441.568245,0.00762557
441.535140,0.00546264
441.459513,0.01034627
441.333569,-0.01244024
441.274891,0.01093583
441.259141,-0.00597701
441.208262,-0.00560346
441.056742,-0.01477977
441.090769,-0.02290132
441.004087,-0.00766634
440.891147,-0.01306183
440.848974,0.00441362
440.816859,0.01096951
440.662807,-0.01701335
440.615837,-0.01763216
440.576967,0.00378570
440.578095,-0.00526066
440.459463,0.00442314
440.409628,0.00505960
440.356458,-0.00753788
440.322801,0.00436262
440.261045,-0.01302438
440.159705,-0.00124775
440.051710,0.00333987
440.051646,-0.02164676
439.973942,0.01061977
439.889420,0.00033492
439.774635,-0.00007884
439.784735,0.01485947
439.709548,0.00485898
439.584540,-0.01526281
439.506291,0.01952562
439.466725,-0.00914925
439.418962,-0.00674927
439.365067,0.02440481
439.303365,0.00020481
439.261197,0.00297313
439.187692,0.00262006
439.056744,-0.00245121
438.990619,0.00305851
439.023740,0.00014095
438.890390,-0.01234010
438.839053,-0.00763121
438.831504,-0.00063442
438.754797,-0.00802163
438.659316,0.00285073
438.647234,-0.00822580
438.565084,-0.02581685
438.485103,-0.00710145
438.458360,0.00230309
438.323789,0.00281481
438.274634,-0.00691571
438.213740,-0.01797270
438.148318,-0.00541216
438.034403,-0.00249800
438.048369,-0.00435790
437.943293,0.01010952
437.861400,0.00373501
437.874161,-0.01256755
437.781911,0.01650774
437.720762,0.02579432
437.691413,0.00964655
437.551807,-0.01659592
437.558257,-0.00161745
437.469118,-0.00009513
437.432356,-0.00868939
437.334279,0.00198490
437.246165,-0.00965516
437.202224,-0.00187308
437.152416,0.01565400
437.000545,-0.01276707
436.960354,0.00923976
436.973907,0.00496727
436.832411,-0.00213568
436.744096,-0.00463411
436.742041,-0.00767165
436.673645,-0.00491785
436.630239,-0.01260559
436.591337,0.00525526
436.525164,-0.00716313
436.356226,-0.00155750
436.323885,0.01015103
436.337315,0.00678763
436.268302,-0.00822885
436.165693,-0.01365104
436.102096,-0.00017452
436.026718,0.01177615
435.938196,0.00772784
435.918274,0.01524115
435.847187,0.01500125
435.766496,-0.00968202
435.700773,-0.00903234
435.630014,-0.01184977
435.612625,0.00645739
435.541004,0.00468018
435.429566,0.00367241
435.435508,-0.01041332
435.264404,0.01674621
435.228768,0.01713722
435.219968,-0.00412387
435.090609,-0.01049448
435.047161,-0.00570415
435.054916,-0.01863782
434.945359,0.00673514
434.918165,-0.00492646
434.796384,0.00894135
434.780733,-0.00631360
434.654896,0.00047921
434.580828,-0.00648443
434.591724,-0.00245170
434.486689,-0.00084021
434.461266,-0.00861000
434.329083,-0.01004648
434.290362,0.00606197
434.258762,-0.01686223
434.200577,-0.00408970
434.145865,0.00612988
434.062966,0.01359930
434.016870,-0.01300148
433.956518,-0.01334395
433.809651,-0.00629626
433.791871,0.00403340
433.687294,0.02343516
433.669047,0.00268897
433.640114,-0.00059951
433.496063,-0.00329587
433.486759,-0.01537957
433.419620,0.02114064
433.275062,-0.00215706
433.260172,0.00094555
433.145833,-0.00788236
433.160203,-0.00196017
433.117401,0.01121690
432.983420,-0.00316563
432.917582,0.00728963
432.821145,0.01129263
432.850516,0.00123468
432.788941,0.01611265
432.727586,-0.00561943
432.674992,-0.00115896
432.585773,-0.00526943
432.487332,0.01901689
432.381416,0.00424552
432.388054,-0.00376011
432.303467,-0.00752231
432.215732,-0.00218329
432.120273,-0.00066240
432.130837,-0.00500300
432.032454,-0.00820373
431.924207,0.00029653
431.856123,-0.00847737
431.868587,-0.00193070
431.733119,-0.01423242
431.704077,0.00674308
431.662673,-0.00088588
431.600707,0.00561879
431.474850,-0.00347701
431.404447,-0.01365026
431.356882,-0.00564028
431.300255,0.00579017
431.298066,0.00349250
431.154923,-0.00756386
431.126784,0.00398113
431.128468,0.00718585
430.975320,0.00269557
430.916829,-0.00299862
430.846194,-0.00884519
430.792711,0.01258541
430.768433,0.00643624
430.687906,-0.00425376
430.564874,-0.01091880
430.619219,0.01047741
430.514758,0.00352241
430.468044,-0.00594448
430.319646,0.00076936
430.338213,0.00848957
430.267358,-0.00406721
430.173420,0.01211738
430.102629,0.01956576
430.081569,0.00343894
430.004877,0.00468269
429.953853,0.00416421
429.841214,0.00823328
429.826011,0.00033543
429.717834,-0.01700399
429.685040,-0.00683864
429.647725,-0.00643981
429.502825,0.00060288
429.521965,-0.00409627
429.430442,-0.00554038
429.351413,0.01679908
429.250788,0.01931011
429.190553,-0.00275380
429.161217,0.00395130
429.094671,-0.00774212
429.061253,0.00326560
428.932170,-0.01312301
428.882454,-0.00210662
428.867068,-0.00558716
428.718880,0.00930817
428.726922,-0.01077591
428.609414,0.00519987
428.556986,-0.00489719
428.497602,-0.01241449
428.493691,-0.00300902
428.396955,-0.01712543
428.305147,0.00869912
428.250780,0.00128030
428.154842,-0.00377052
428.157155,-0.01849121
428.072349,-0.00033107
427.946682,-0.00324601
427.922081,0.00608696
427.878387,-0.00449450
427.771750,0.00227832
427.715698,-0.01198375
427.619875,-0.00135776
427.578461,0.00019217
427.585540,0.01420338
427.470044,-0.00115196
427.368420,0.00415194
427.389963,-0.00117486
427.224924,0.01823768
427.210524,-0.00130738
427.207616,0.00658639
427.103457,-0.00144364
426.974808,-0.01804477
426.971702,-0.01078093
426.940318,0.00218568
426.818556,-0.01442207
426.788479,-0.00399830
426.644229,0.00157378
426.672903,0.00839057
426.590470,-0.00436192
426.512011,0.00368395
426.399822,0.00574076
426.396425,0.00788747
426.341112,0.00449775
426.193581,-0.00219323
426.187811,-0.00091451
426.132519,0.00061696
426.093215,0.01795034
425.977150,-0.00553232
425.891597,0.00989444
425.902962,-0.00462944
425.783067,0.00863003
425.770142,0.01271625
425.638085,0.00310563
425.600811,0.01413167
425.539727,-0.01483697
425.462321,-0.01396821
425.395061,0.00200436
425.378433,0.00310607
425.315862,0.01444545
425.172149,0.00735927
425.125278,-0.00828779
425.114354,0.00025316
425.045745,0.00532978
424.994467,-0.02016900
424.891912,-0.01385756
424.876543,-0.00569856
424.809166,-0.00009072
424.704048,0.01585648
424.676702,0.00423906
424.578428,0.00620065
424.536761,-0.00216982
424.415919,0.01143878
424.327246,0.01040712
424.317365,0.00111916
424.265821,-0.01633366
424.167592,-0.00046374
424.137165,0.00211485
424.093657,-0.00787591
424.030562,-0.00678505
423.969048,-0.01123905
423.849210,0.00541297
423.756545,-0.00803804
423.702321,-0.00499860
423.666831,-0.00863964
423.632193,-0.00741690
423.544405,0.00242486
423.493753,-0.01326441
423.480513,-0.00554727
423.300224,-0.00975149
423.352035,-0.00958364
423.263092,0.00423322
423.201342,0.01956481
423.058377,-0.00302485
423.022443,-0.00051483
423.001793,0.01070217
422.943753,0.01196491
422.790594,0.00361129
422.821109,0.00480105
422.689869,0.01011512
422.694710,0.00286221
422.642841,0.01439681
422.477058,-0.00920210
422.455926,0.00156163
422.335544,-0.02382622
422.330862,-0.00432456
422.319383,0.00759982
422.229443,0.00968491
422.109667,0.01372204
422.017058,-0.01185850
422.013554,0.01954725
421.892238,-0.00146537
421.839613,-0.00266922
421.826669,-0.00830397
421.722219,0.00919322
421.632680,-0.02163663
421.576516,-0.00020697
421.528866,0.01510127
421.489300,0.00755976
421.369092,-0.01968037
421.335684,-0.00436544
421.347789,-0.01466938
421.194149,-0.00083575
421.133549,0.00200041
421.165343,0.00399798
421.090415,0.00212236
421.025161,0.01261955
420.915134,0.00797222
420.895885,0.01400704
420.839158,0.00898155
420.703566,0.00643129
420.629530,-0.00757422
420.621503,0.00275567
420.565252,-0.01000240
420.428456,0.00752873
420.358990,0.00162451
420.320408,-0.00153358
420.246695,0.00330969
420.171442,-0.00133187
420.167236,-0.00393182
420.057672,-0.01228798
420.012272,-0.00419031
419.933287,0.00177800
419.926392,-0.00842150
419.806531,0.01592850
419.796690,-0.00854849
419.737209,0.00410501
419.582056,0.00023469
419.521054,0.02377549
419.490594,-0.00130565
419.436885,-0.01274960
419.362627,-0.00137173
419.366110,0.00454944
419.186908,-0.00228608
419.181370,0.00754409
419.105080,0.00415250
419.038123,-0.01333489
418.973579,0.01044058
418.910157,-0.01040381
418.833977,0.00186073
418.841564,0.01476084
418.688123,-0.00223801
418.620979,-0.01134931
418.612945,0.00257486
418.523610,-0.00922404
418.528038,-0.00067875
418.396203,0.00186617
418.312441,-0.00060840
418.322569,0.00382738
418.249543,-0.00876154
418.179877,0.00285007
418.057210,-0.00179347
418.054784,0.00234138
417.961797,0.00833791
417.944777,0.01344407
417.835505,0.00687061
417.720529,0.00651372
417.732116,-0.00345990
417.667100,0.01849076
417.622335,0.00422592
417.554997,0.00950187
417.483363,-0.01640487
417.406511,0.01261169
417.288054,-0.00304177
417.268023,0.02218590
417.172075,0.00292112
417.071449,0.00621181
417.090908,-0.00330753
416.968895,0.00056624
416.874778,-0.00677207
416.916043,-0.00030854
416.794740,-0.00808386
416.791792,-0.00258050
416.612601,-0.00460063
416.590729,-0.00119992
416.483771,0.01114639
416.430643,0.00060658
416.402023,-0.00222228
416.320797,-0.00666685
416.268583,-0.00135600
416.226913,0.00209303
416.195783,0.01227241
416.068974,0.00725100
416.035282,0.00875931
416.017531,0.01564545
415.845677,-0.00041956
415.792839,-0.01196599
415.763641,-0.00742321
415.754679,-0.00627250
415.664219,-0.00551757
415.605691,-0.00082151
415.486555,0.01350349
415.485812,0.00435487
415.326634,0.00294537
415.273943,-0.00642723
415.286817,0.01713441
415.136159,-0.00295827
415.099070,0.01128963
415.105114,0.00201837
415.044886,-0.00264315
414.952639,-0.00094030
414.812059,0.00364488
414.807645,0.00937088
414.772329,0.00399344
414.730385,0.00962907
414.565114,0.00980631
414.493110,-0.00784913
414.455696,-0.00425027
414.405648,0.00173026
414.319568,0.00846621
414.248784,0.00282166
414.272763,-0.01448187
414.214936,-0.00362381
414.146718,-0.00239565
414.012138,0.00784987
413.910941,0.00268202
413.860520,-0.01603783
413.874675,-0.00211203
413.789656,0.01528583
413.692032,-0.01380126
413.690754,-0.01029215
413.578512,0.00416098
413.571713,0.01089734
413.482882,-0.00331929
413.333468,-0.00904361
413.351212,-0.00580124
413.313079,-0.00812763
413.140724,0.00749342
413.082343,0.00410171
413.036552,-0.00848028
413.017399,-0.00485132
412.903950,-0.01024823
412.825121,0.00683801
412.825280,0.00474745
412.731270,-0.01751698
412.718613,-0.00606249
412.673130,-0.00111620
412.609787,0.00986452
412.540319,-0.00787952
412.403096,0.01666146
412.329265,0.00854919
412.309573,-0.00138684
412.224933,-0.00277098
412.119438,0.01935302
412.133697,-0.00631067
412.079310,-0.00085424
411.939740,0.00471530
411.859564,0.00714896
411.896511,-0.00226563
411.789017,0.00207721
411.739736,0.02181619
411.710312,0.00516905
411.593523,-0.01456219
411.486886,0.00730097
411.451107,-0.00227162
411.347677,-0.00208685
411.369391,0.00244805
411.267111,-0.01307543
411.222591,-0.00524737
411.098661,-0.00700683
411.113606,-0.00594235
411.003095,0.00251572
410.966817,-0.00572204
410.938711,-0.01533237
410.867027,0.01076658
410.721540,-0.02157392
410.669676,0.01231386
410.646077,0.00370009
410.608410,0.01575666
410.536199,0.01122552
410.462997,0.00608132
410.404549,0.00302452
410.286051,-0.01177137
410.243247,0.00646520
410.136495,0.00810980
410.148115,-0.01580289
410.025839,-0.01126804
410.032964,0.00565410
409.891846,-0.00563641
409.875164,-0.00066181
409.759065,-0.00420944
409.760502,0.01826088
409.644665,0.00777536
409.620687,0.00489143
409.486958,0.00154464
409.419561,-0.00195127
409.459293,0.00728154
409.330318,-0.00712933
409.240785,0.02159555
409.232070,0.00045917
409.129321,-0.02671416
409.085792,-0.01173540
409.072787,0.00517438
408.997322,-0.00909420
408.840475,0.01775205
408.884960,0.00658089
408.819476,0.00050796
408.666103,-0.00157147
408.579528,0.00699692
408.620313,-0.00036912
408.522872,-0.00295541
408.409309,-0.00599549
408.325611,-0.01117153
408.274799,-0.00016445
408.264671,-0.00378020
408.166324,-0.00573561
408.113009,0.00038119
408.105230,-0.00586235
408.049149,-0.01292829
407.867486,-0.00299714
407.807787,0.00540619
407.755340,-0.01058815
407.742101,-0.00558085
407.626879,0.00103571
407.571665,0.00099914
407.592685,0.00042819
407.456772,-0.00219061
407.459578,0.00367898
407.324090,-0.00587533
407.329519,-0.01080107
407.188364,-0.00673862
407.186982,-0.00105507
407.101066,0.00916650
407.044590,0.01482823
406.921847,-0.00852390
406.869616,0.00922458
406.888223,-0.00622929
406.824898,-0.01419571
406.716776,-0.00641786
406.663710,-0.00538750
406.546464,0.00091299
406.533520,0.01442590
406.407506,0.01311950
406.428446,0.00283169
406.281406,0.00454866
406.197001,-0.00393093
406.246991,-0.00378570
406.147908,0.00060113
406.057379,-0.00467018
405.987959,0.00112676
405.966589,-0.00294891
405.869750,-0.00333871
405.747838,-0.00020520
405.762703,-0.00549591
405.663427,0.00030944
