# MestreNova Text Export
# Source: easy ethanol
X(ppm);Intensity
4,000505;0,00000162
3,998596;0,00000162
3,996686;0,00000163
3,994777;0,00000163
3,992868;0,00000164
3,990959;0,00000164
3,989050;0,00000164
3,987141;0,00000165
3,985232;0,00000165
3,983323;0,00000165
3,981414;0,00000166
3,979505;0,00000166
3,977596;0,00000167
3,975687;0,00000167
3,973778;0,00000167
3,971869;0,00000168
3,969960;0,00000168
3,968051;0,00000169
3,966142;0,00000169
3,964233;0,00000169
3,962324;0,00000170
3,960415;0,00000170
3,958506;0,00000171
3,956597;0,00000171
3,954688;0,00000172
3,952779;0,00000172
3,950870;0,00000172
3,948961;0,00000173
3,947051;0,00000173
3,945142;0,00000174
3,943233;0,00000174
3,941324;0,00000174
3,939415;0,00000175
3,937506;0,00000175
3,935597;0,00000176
3,933688;0,00000176
3,931779;0,00000177
3,929870;0,00000177
3,927961;0,00000177
3,926052;0,00000178
3,924143;0,00000178
3,922234;0,00000179
3,920325;0,00000179
3,918416;0,00000180
3,916507;0,00000180
3,914598;0,00000181
3,912689;0,00000181
3,910780;0,00000181
3,908871;0,00000182
3,906962;0,00000182
3,905053;0,00000183
3,903144;0,00000183
3,901235;0,00000184
3,899326;0,00000184
3,897416;0,00000185
3,895507;0,00000185
3,893598;0,00000186
3,891689;0,00000186
3,889780;0,00000187
3,887871;0,00000187
3,885962;0,00000188
3,884053;0,00000188
3,882144;0,00000188
3,880235;0,00000189
3,878326;0,00000189
3,876417;0,00000190
3,874508;0,00000190
3,872599;0,00000191
3,870690;0,00000191
3,868781;0,00000192
3,866872;0,00000192
3,864963;0,00000193
3,863054;0,00000193
3,861145;0,00000194
3,859236;0,00000194
3,857327;0,00000195
3,855418;0,00000195
3,853509;0,00000196
3,851600;0,00000196
3,849691;0,00000197
3,847781;0,00000198
3,845872;0,00000198
3,843963;0,00000199
3,842054;0,00000199
3,840145;0,00000200
3,838236;0,00000200
3,836327;0,00000201
3,834418;0,00000201
3,832509;0,00000202
3,830600;0,00000202
3,828691;0,00000203
3,826782;0,00000203
3,824873;0,00000204
3,822964;0,00000205
3,821055;0,00000205
