x,intensity
-73.506806,0.01925815
-73.532133,0.00000000
-73.553944,0.00000000
-73.574216,0.00000000
-73.596388,0.00000000
-73.619809,0.00000000
-73.646672,0.00000000
-73.667980,0.00353198
-73.694744,0.03835414
-73.715602,0.00000000
-73.738059,0.01355849
-73.761296,0.01760914
-73.788346,0.00000000
-73.808272,0.05996746
-73.827337,0.00000000
-73.857023,0.00000000
-73.880415,0.00000000
-73.897947,0.01917301
-73.926065,0.00000000
-73.947360,0.00589637
-73.974480,0.00000000
-73.996469,0.00502699
-74.017129,0.00000000
-74.045400,0.04022121
-74.065977,0.00000000
-74.089769,0.00000000
-74.110535,0.00881317
-74.135583,0.02277285
-74.155101,0.06326168
-74.180546,0.00000000
-74.201310,0.08529110
-74.228970,0.00877169
-74.248960,0.00000000
-74.277960,0.00797042
-74.302924,0.00000000
-74.320532,0.00000000
-74.342843,0.00000000
-74.364363,0.00000000
-74.394051,0.00000000
-74.419211,0.06562815
-74.434308,0.02680653
-74.464320,0.04591938
-74.488125,0.00000000
-74.506924,0.00767612
-74.533449,0.00000000
-74.554019,0.01740812
-74.582869,0.00000000
-74.597455,0.00000000
-74.622324,0.00000000
-74.651067,0.00000000
-74.668640,0.00000000
-74.691503,0.00000000
-74.717709,0.02184025
-74.739970,0.00000000
-74.767977,0.00000000
-74.787097,0.00000000
-74.814949,0.00000000
-74.834167,0.00000000
-74.858700,0.05361535
-74.881613,0.01967016
-74.901370,0.00520054
-74.929910,0.03297443
-74.950065,0.02614776
-74.972900,0.02131732
-74.995187,0.00000000
-75.025500,0.00000000
-75.043355,0.03436099
-75.069512,0.00000000
-75.095912,0.00883592
-75.117164,0.01552169
-75.136698,0.00000000
-75.164668,0.03019777
-75.181481,0.04120341
-75.204470,0.00034678
-75.228929,0.00000000
-75.251177,0.00000000
-75.278154,0.03556293
-75.297871,0.00000000
-75.329636,0.00000000
-75.351206,0.00000000
-75.375651,0.00000000
-75.393039,0.00000000
-75.417149,0.00197585
-75.438640,0.00718222
-75.462434,0.00000000
-75.486657,0.05055274
-75.512932,0.00000000
-75.533075,0.03998214
-75.562616,0.00000000
-75.579265,0.03310049
-75.604830,0.00000000
-75.629261,0.00769769
-75.650557,0.00000000
-75.673602,0.03832243
-75.697587,0.01727026
-75.723024,0.00000000
-75.744324,0.00000000
-75.765560,0.02701279
-75.793255,0.03287582
-75.815417,0.04584744
-75.841855,0.06171140
-75.862560,0.00000000
-75.881043,0.00754694
-75.908235,0.04911512
-75.931345,0.00000000
-75.957551,0.00000000
-75.980690,0.00000000
-76.003993,0.00400388
-76.023470,0.00691234
-76.045283,0.01037436
-76.073936,0.00442463
-76.096654,0.02226831
-76.114554,0.00404581
-76.140273,0.00000000
-76.163274,0.04007528
-76.190878,0.00000000
-76.214215,0.01694076
-76.238529,0.00874096
-76.260306,0.00000000
-76.283593,0.00000000
-76.306324,0.01702167
-76.326128,0.04175179
-76.353001,0.00418051
-76.378986,0.01695461
-76.399111,0.00000000
-76.422466,0.00000000
-76.441034,0.00000000
-76.471002,0.03286493
-76.494187,0.00582562
-76.518381,0.00000000
-76.535181,0.03224259
-76.558391,0.00000000
-76.585355,0.00000000
-76.607535,0.00000000
-76.630227,0.00000000
-76.654638,0.00000000
-76.675623,0.01065871
-76.701463,0.04064417
-76.727002,0.00000000
-76.749884,0.00000000
-76.774758,0.00000000
-76.792348,0.00081987
-76.817938,0.00000000
-76.843801,0.00000000
-76.867578,0.00000000
-76.893064,0.02566387
-76.912485,0.00000000
-76.931934,0.00000000
-76.962425,0.00000000
-76.985618,0.03681331
-77.008166,0.06413654
-77.024832,0.00000000
-77.052888,0.00000000
-77.072019,0.00000000
-77.099458,0.02460383
-77.126465,0.00000000
-77.141886,0.00000000
-77.165489,0.00000000
-77.190765,0.02390934
-77.215550,0.00000000
-77.239874,0.00000000
-77.263172,0.03120558
-77.284985,0.00017923
-77.312017,0.04308385
-77.330194,0.06787538
-77.360012,0.00000000
-77.381566,0.00000000
-77.401655,0.00028849
-77.423946,0.00000000
-77.451280,0.01818168
-77.474196,0.02099538
-77.495222,0.00000000
-77.516220,0.00000000
-77.539633,0.00000000
-77.561517,0.08668876
-77.584769,0.00000000
-77.608295,0.03379758
-77.640086,0.00000000
-77.659397,0.00908621
-77.686466,0.01788449
-77.704102,0.00000000
-77.728867,0.00000000
-77.752264,0.01825145
-77.775044,0.00000000
-77.799012,0.00000000
-77.822802,0.02968042
-77.845871,0.00304999
-77.868852,0.02243707
-77.892441,0.01850172
-77.914295,0.00398314
-77.938375,0.01062800
-77.964428,0.06211216
-77.983062,0.00000000
-78.008323,0.01807666
-78.035103,0.00000000
-78.059212,0.00000000
-78.081594,0.00000000
-78.100900,0.02492467
-78.128511,0.00000000
-78.149595,0.00000000
-78.175745,0.02854572
-78.195446,0.00000000
-78.218104,0.00000000
-78.238760,0.00000000
-78.266646,0.05581671
-78.292254,0.00167868
-78.313282,0.00000000
-78.337136,0.02143812
-78.356030,0.08667794
-78.385418,0.00000000
-78.408411,0.00000000
-78.433028,0.03558753
-78.450878,0.00000000
-78.478048,0.02639107
-78.500467,0.00000000
-78.521644,0.02905629
-78.548922,0.00000000
-78.566027,0.04522045
-78.596937,0.06835288
-78.615318,0.00000000
-78.641640,0.00000000
-78.659650,0.00000000
-78.684118,0.00000000
-78.713277,0.00000000
-78.731155,0.02847539
-78.755218,0.04901367
-78.782417,0.00000000
-78.803592,0.00000000
-78.825347,0.00923360
-78.851147,0.04842739
-78.869014,0.01492090
-78.896557,0.00246564
-78.916064,0.01539178
-78.942457,0.00610452
-78.963074,0.00000000
-78.987896,0.00000000
-79.013791,0.00771035
-79.037438,0.00000000
-79.056794,0.00000000
-79.082692,0.07788508
-79.102145,0.00000000
-79.132924,0.03498794
-79.155423,0.04505059
-79.178838,0.04509413
-79.201547,0.00000000
-79.221822,0.01137499
-79.241880,0.00000000
-79.269998,0.00261350
-79.292516,0.00000000
-79.311489,0.00000000
-79.335113,0.00000000
-79.359566,0.00839800
-79.389792,0.07867284
-79.411214,0.00000000
-79.432550,0.06197363
-79.457837,0.00000000
-79.474969,0.00000000
-79.501465,0.00000000
-79.529847,0.00000000
-79.553204,0.03182150
-79.573480,0.00103498
-79.591849,0.00855028
-79.621208,0.00000000
-79.642117,0.00000000
-79.662503,0.00000000
-79.691115,0.01302575
-79.714956,0.01953511
-79.734926,0.00000000
-79.756388,0.00711545
-79.784670,0.01069003
-79.809409,0.00969459
-79.832854,0.00296464
-79.849706,0.00000000
-79.875005,0.00428164
-79.901412,0.00000000
-79.924233,0.05620044
-79.950205,0.00680863
-79.969535,0.00000000
-79.996837,0.03454540
-80.016227,0.00000000
-80.038214,0.00000000
-80.063489,0.01074492
-80.084022,0.01979887
-80.105049,0.04382013
-80.130948,0.06835080
-80.159476,0.00000000
-80.183785,0.10313126
-80.201056,0.00000000
-80.222355,0.01553864
-80.252304,0.00000000
-80.271651,0.02119518
-80.296857,0.00000000
-80.315772,0.00000000
-80.339822,0.00000000
-80.367053,0.03681552
-80.388027,0.00000000
-80.412444,0.04299140
-80.435458,0.00000000
-80.459517,0.00000000
-80.485364,0.00000000
-80.503454,0.06621669
-80.530471,0.00000000
-80.553407,0.00000000
-80.577140,0.00000000
-80.601655,0.02042477
-80.621101,0.01211950
-80.645830,0.00000000
-80.665594,0.00000000
-80.691215,0.00000000
-80.712911,0.00243482
-80.742550,0.00000000
-80.767079,0.00000000
-80.781941,0.02416291
-80.810708,0.00000000
-80.835935,0.02459858
-80.851719,0.07542804
-80.881601,0.05047755
-80.904273,0.02888037
-80.922643,0.03292722
-80.949405,0.00000000
-80.970039,0.00000000
-80.996140,0.00000000
-81.019853,0.00289821
-81.043969,0.00000000
-81.066265,0.03996950
-81.091892,0.00000000
-81.115657,0.00000000
-81.133638,0.04070863
-81.159206,0.01798325
-81.179403,0.00000000
-81.210767,0.00804026
-81.230557,0.03846563
-81.256299,0.00000000
-81.279231,0.01147353
-81.298176,0.00000000
-81.323966,0.03664254
-81.342836,0.00000000
-81.373824,0.02746998
-81.394472,0.00000000
-81.417779,0.02902058
-81.435700,0.02641304
-81.465315,0.03873194
-81.489726,0.00000000
-81.512430,0.00000000
-81.537220,0.01941032
-81.553175,0.00000000
-81.583196,0.04896780
-81.598938,0.01005730
-81.625258,0.00000000
-81.652527,0.00777074
-81.670347,0.03898205
-81.698885,0.03628733
-81.719937,0.00000000
-81.747436,0.00000000
-81.765367,0.03679698
-81.789269,0.00000000
-81.809741,0.04629273
-81.839184,0.00000000
-81.861665,0.00000000
-81.883815,0.05322772
-81.910211,0.00000000
-81.933479,0.01259501
-81.953013,0.00755328
-81.974279,0.01380073
-82.003534,0.00000000
-82.026437,0.03544586
-82.043452,0.00000000
-82.065826,0.00000000
-82.096110,0.00000000
-82.119181,0.00000000
-82.142928,0.00263079
-82.167594,0.00000000
-82.186889,0.00000000
-82.208339,0.05168223
-82.234459,0.02467798
-82.254358,0.00000000
-82.280214,0.03198856
-82.301877,0.00000000
-82.322304,0.03899941
-82.351129,0.01575096
-82.372297,0.00000000
-82.395822,0.00000000
-82.423220,0.00342171
-82.444266,0.03632576
-82.463150,0.00000000
-82.485505,0.03211415
-82.511633,0.00000000
-82.533839,0.06607963
-82.556462,0.00000000
-82.583533,0.02740017
-82.606192,0.00000000
-82.625543,0.04093049
-82.653332,0.00000000
-82.677030,0.00000000
-82.704282,0.00000000
-82.719725,0.00000000
-82.743191,0.04260613
-82.769666,0.00000000
-82.790935,0.00000000
-82.821040,0.01358482
-82.842997,0.00000000
-82.866447,0.02268280
-82.885739,0.04535157
-82.912694,0.00000000
-82.929948,0.00000000
-82.952892,0.03566859
-82.977409,0.00000000
-83.005178,0.01119073
-83.022204,0.01543163
-83.054149,0.00000000
-83.071727,0.00750346
-83.092825,0.02807047
-83.121346,0.00788180
-83.146854,0.00000000
-83.168828,0.06804055
-83.185961,0.00000000
-83.214413,0.02263820
-83.238737,0.00423234
-83.261351,0.07941039
-83.280025,0.00000000
-83.308939,0.03850463
-83.333694,0.00000000
-83.351233,0.00000000
-83.380177,0.01944597
-83.402005,0.00000000
-83.422270,0.03011885
-83.448679,0.00662351
-83.471873,0.00000000
-83.489272,0.00000000
-83.520311,0.03941375
-83.538529,0.00000000
-83.563251,0.07685283
-83.586068,0.05282701
-83.609380,0.00000000
-83.633748,0.04606680
-83.659213,0.01648375
-83.682749,0.04463914
-83.704834,0.02547790
-83.723237,0.00000000
-83.751729,0.00000000
-83.776359,0.00000000
-83.792796,0.04505313
-83.820377,0.00000000
-83.840950,0.01779532
-83.869965,0.00000000
-83.892740,0.00000000
-83.916836,0.00000000
-83.936845,0.02604045
-83.956990,0.00012721
-83.982152,0.06933319
-84.010077,0.05636235
-84.031067,0.01328081
-84.051208,0.00000000
-84.079544,0.00000000
-84.103317,0.00000000
-84.120597,0.03096810
-84.147326,0.00000000
-84.168717,0.02331194
-84.193169,0.00000000
-84.220508,0.04794984
-84.240508,0.00000000
-84.266436,0.04322072
-84.288556,0.02770491
-84.309961,0.00000000
-84.337927,0.00000000
-84.353699,0.00000000
-84.380851,0.05230544
-84.400399,0.02504799
-84.424267,0.00790114
-84.453852,0.00217348
-84.471241,0.01192210
-84.497618,0.00000000
-84.519124,0.01474250
-84.544005,0.09386774
-84.568169,0.00000000
-84.588568,0.06020653
-84.617580,0.07612323
-84.636722,0.00000000
-84.656536,0.04414919
-84.682186,0.00342295
-84.704695,0.06683922
-84.726896,0.02453870
-84.756890,0.06563469
-84.780806,0.05403159
-84.798972,0.02248618
-84.821628,0.00000000
-84.842922,0.01538548
-84.866451,0.00209257
-84.894603,0.00000000
-84.913487,0.05259772
-84.940422,0.00000000
-84.961411,0.06491221
-84.982693,0.00511818
-85.011630,0.00000000
-85.031496,0.00000000
-85.059178,0.04671263
-85.082825,0.00585795
-85.099415,0.01084998
-85.122942,0.00000000
-85.150904,0.00000000
-85.169999,0.06585046
-85.198620,0.04864578
-85.217264,0.07277588
-85.245053,0.04254736
-85.270359,0.00000000
-85.289193,0.00000000
-85.309246,0.00000000
-85.340428,0.00000000
-85.356425,0.01715936
-85.385905,0.01760693
-85.405082,0.00000000
-85.431630,0.06733483
-85.454069,0.01097583
-85.472745,0.01119471
-85.499160,0.00000000
-85.527062,0.00000000
-85.545362,0.00000000
-85.568853,0.00000000
-85.596957,0.00000000
-85.614375,0.01146006
-85.641676,0.00000000
-85.661077,0.00000000
-85.682886,0.00000000
-85.710764,0.00000000
-85.732565,0.01992724
-85.760395,0.01817167
-85.779004,0.00000000
-85.807345,0.00000000
-85.826242,0.02442981
-85.850239,0.00000000
-85.877212,0.00000000
-85.894347,0.04363141
-85.924522,0.03765955
-85.944760,0.00000000
-85.971283,0.02671581
-85.993532,0.01412798
-86.013657,0.00000000
-86.040661,0.03639070
-86.057948,0.00000000
-86.083141,0.00352677
-86.106689,0.00000000
-86.125997,0.00000000
-86.153324,0.00000000
-86.177166,0.00000000
-86.197728,0.00614094
-86.219829,0.04444818
-86.249138,0.00581556
-86.267608,0.01690482
-86.298003,0.01283045
-86.313447,0.00000000
-86.338907,0.03971791
-86.361669,0.00000000
-86.390088,0.03586545
-86.410357,0.03006871
-86.436555,0.00000000
-86.455846,0.00106394
-86.480891,0.00000000
-86.500280,0.00323517
-86.528484,0.00000000
-86.549086,0.06883928
-86.573962,0.00000000
-86.601032,0.00000000
-86.623618,0.00000000
-86.643968,0.00000000
-86.665722,0.00836384
-86.689147,0.00000000
-86.713846,0.00000000
-86.733150,0.03552614
-86.760047,0.05966855
-86.781434,0.00000000
-86.805725,0.00847568
-86.826334,0.00000000
-86.857113,0.00000000
-86.877397,0.01990750
-86.904909,0.00000000
-86.924985,0.00000000
-86.946737,0.02503649
-86.968731,0.08818017
-86.996962,0.01194510
-87.021597,0.00460297
-87.040716,0.00000000
-87.064802,0.04427396
-87.088096,0.03413244
-87.108950,0.07589183
-87.131888,0.05678398
-87.161108,0.01193166
-87.181585,0.00000000
-87.206101,0.05831977
-87.229384,0.00000000
-87.253127,0.01752433
-87.275765,0.01023971
-87.292872,0.06007040
-87.324058,0.00997750
-87.343141,0.00000000
-87.364920,0.01787794
-87.394559,0.00000000
-87.409679,0.00000000
-87.437905,0.02011960
-87.463109,0.00000000
-87.488107,0.00000000
-87.511579,0.06539307
-87.528287,0.04547243
-87.557664,0.02730678
-87.579457,0.00000000
-87.600502,0.00000000
-87.624145,0.00660241
-87.646704,0.03959254
-87.671194,0.00692169
-87.695026,0.00000000
-87.721580,0.03311154
-87.739297,0.00000000
-87.761984,0.00000000
-87.784855,0.00000000
-87.809350,0.04203984
-87.838063,0.03235442
-87.855012,0.02704629
-87.877579,0.01258836
-87.907648,0.00000000
-87.924671,0.01577218
-87.950699,0.00000000
-87.978477,0.03007246
-87.999804,0.00000000
-88.021964,0.06100737
-88.040655,0.00000000
-88.063567,0.05240411
-88.091178,0.00770069
-88.114077,0.02071162
-88.134810,0.00000000
-88.157796,0.00000000
-88.187857,0.04794301
-88.210441,0.00000000
-88.231331,0.05299093
-88.251268,0.02241399
-88.281560,0.00000000
-88.303305,0.03998137
-88.325132,0.00000000
-88.349468,0.01930439
-88.372225,0.00000000
-88.393290,0.00000000
-88.418884,0.01612011
-88.441954,0.01017682
-88.467676,0.01713103
-88.484836,0.01063448
-88.508236,0.00000000
-88.537623,0.03000253
-88.557708,0.00857060
-88.582716,0.01835984
-88.600738,0.00000000
-88.628135,0.01508738
-88.652392,0.00000000
-88.672785,0.00000000
-88.696760,0.01662874
-88.717744,0.04458271
-88.740213,0.00000000
-88.763724,0.00000000
-88.793733,0.00000000
-88.811159,0.00000000
-88.833676,0.00000000
-88.865013,0.00000000
-88.888384,0.04524518
-88.911625,0.00000000
-88.934375,0.00000000
-88.956906,0.00000000
-88.977699,0.00000000
-89.001878,0.00000000
-89.021656,0.01114849
-89.045460,0.00000000
-89.072997,0.00302678
-89.091894,0.00000000
-89.115980,0.01352283
-89.143931,0.01649592
-89.168530,0.02257532
-89.185756,0.00000000
-89.213111,0.00000000
-89.233690,0.00000000
-89.257512,0.00000000
-89.284961,0.00000000
-89.308321,0.03087840
-89.331097,0.04485434
-89.349272,0.00266101
-89.376937,0.00000000
-89.397519,0.01194383
-89.417521,0.03256395
-89.445476,0.00000000
-89.470545,0.06512717
-89.493491,0.00162761
-89.510879,0.00000000
-89.540715,0.00301173
-89.564731,0.02909099
-89.581466,0.02901105
-89.604166,0.00000000
-89.634960,0.00000000
-89.650205,0.01898507
-89.673565,0.00000000
-89.701735,0.04178776
-89.719946,0.00000000
-89.743990,0.00000000
-89.769531,0.00000000
-89.795654,0.07278926
-89.813516,0.04200130
-89.845401,0.00000000
-89.860311,0.00000000
