ppm,intensity
8.390461,0.00423151
8.389056,0.00623746
8.387650,0.00811642
8.386245,0.00983009
8.384839,0.01134357
8.383434,0.01262601
8.382028,0.01365131
8.380622,0.01439856
8.379217,0.01485255
8.377811,0.01500402
8.376406,0.01484989
8.375000,0.01439329
8.373594,0.01364353
8.372189,0.01261589
8.370783,0.01133131
8.369378,0.00981595
8.367972,0.00810069
8.366566,0.00622048
8.365161,0.00421362
8.363755,0.00212099
8.362350,0.00001476
8.360944,0.00215012
8.359539,0.00424160
8.358133,0.00624657
8.356727,0.00812419
8.355322,0.00983620
8.353916,0.01134773
8.352511,0.01262798
8.351105,0.01365087
8.349699,0.01439555
8.348294,0.01484685
8.346888,0.01499559
8.345483,0.01483872
8.344077,0.01437944
8.342671,0.01362712
8.341266,0.01259708
8.339860,0.01131030
8.338455,0.00979300
8.337049,0.00807609
8.335644,0.00619455
8.334238,0.00418672
8.332832,0.00209349
8.331427,0.00004248
8.330021,0.00217768
8.328616,0.00426860
8.327210,0.00627265
8.325804,0.00814899
8.324399,0.00985941
8.322993,0.01136905
8.321588,0.01264716
8.320182,0.01366769
8.318776,0.01440986
8.317371,0.01485855
8.315965,0.01500461
8.314560,0.01484507
8.313154,0.01438318
8.311749,0.01362835
8.310343,0.01259596
8.308937,0.01130704
8.307532,0.00978787
8.306126,0.00806936
8.304721,0.00618656
8.303315,0.00417781
8.301909,0.00208404
8.300504,0.00005209
8.299098,0.00218707
8.297693,0.00427738
8.296287,0.00628045
8.294881,0.00815548
8.293476,0.00986424
8.292070,0.01137194
8.290665,0.01264785
8.289259,0.01366599
8.287854,0.01440559
8.286448,0.01485161
8.285042,0.01499495
8.283637,0.01483270
8.282231,0.01436815
8.280826,0.01361077
8.279420,0.01257599
8.278014,0.01128490
8.276609,0.00976379
8.275203,0.00804365
8.273798,0.00615954
8.272392,0.00414984
8.270986,0.00205550
8.269581,0.00008083
8.268175,0.00221561
8.266770,0.00430535
8.265364,0.00630748
8.263959,0.00818121
8.262553,0.00988835
8.261147,0.01139414
8.259742,0.01266788
8.258336,0.01368365
8.256931,0.01442073
8.255525,0.01486411
8.254119,0.01500476
8.252714,0.01483981
8.251308,0.01437264
8.249903,0.01361273
8.248497,0.01257559
8.247091,0.01128234
8.245686,0.00975933
8.244280,0.00803761
8.242875,0.00615222
8.241469,0.00414159
8.240064,0.00204669
8.238658,0.00008980
8.237252,0.00222437
8.235847,0.00431351
8.234441,0.00631467
8.233036,0.00818708
8.231630,0.00989258
8.230224,0.01139644
8.228819,0.01266800
8.227413,0.01368138
8.226008,0.01441591
8.224602,0.01485663
8.223196,0.01499458
8.221791,0.01482693
8.220385,0.01435709
8.218980,0.01359466
8.217574,0.01255515
8.216169,0.01125974
8.214763,0.00973483
8.213357,0.00801149
8.211952,0.00612481
8.210546,0.00411325
8.209141,0.00201779
8.207735,0.00011889
8.206329,0.00225324
8.204924,0.00434180
8.203518,0.00634200
8.202113,0.00821310
8.200707,0.00991697
8.199301,0.01141890
8.197896,0.01268829
8.196490,0.01369929
8.195085,0.01443128
8.193679,0.01486937
8.192274,0.01500462
8.190868,0.01483428
8.189462,0.01436181
8.188057,0.01359686
8.186651,0.01255498
8.185246,0.01125742
8.183840,0.00973063
8.182434,0.00800568
8.181029,0.00611774
8.179623,0.00410527
8.178218,0.00200926
8.176812,0.00012758
8.175406,0.00226171
8.174001,0.00434966
8.172595,0.00634888
8.171190,0.00821865
8.169784,0.00992086
8.168379,0.01142085
8.166973,0.01268805
8.165567,0.01369664
8.164162,0.01442608
8.162756,0.01486149
8.161351,0.01499403
8.159945,0.01482097
8.158539,0.01434584
8.157134,0.01357834
8.155728,0.01253409
8.154323,0.01123437
8.152917,0.00970565
8.151511,0.00797908
8.150106,0.00608985
8.148700,0.00407642
8.147295,0.00197984
8.145889,0.00015718
8.144484,0.00229112
8.143078,0.00437850
8.141672,0.00637677
8.140267,0.00824524
8.138861,0.00994585
8.137456,0.01144393
8.136050,0.01270897
8.134644,0.01371521
8.133239,0.01444212
8.131833,0.01487492
8.130428,0.01500478
8.129022,0.01482906
8.127617,0.01435133
8.126211,0.01358133
8.124805,0.01253475
8.123400,0.01123291
8.121994,0.00970234
8.120589,0.00797421
8.119183,0.00608374
8.117777,0.00406944
8.116372,0.00197235
8.114966,0.00016480
8.113561,0.00229848
8.112155,0.00438520
8.110749,0.00638246
8.109344,0.00824957
8.107938,0.00994847
8.106533,0.01144458
8.105127,0.01270739
8.103722,0.01371119
8.102316,0.01443551
8.100910,0.01486561
8.099505,0.01499272
8.098099,0.01481424
8.096694,0.01433382
8.095288,0.01356125
8.093882,0.01251225
8.092477,0.01120821
8.091071,0.00967569
8.089666,0.00794591
8.088260,0.00605411
8.086854,0.00403884
8.085449,0.00194115
8.084043,0.00019622
8.082638,0.00232973
8.081232,0.00441590
8.079827,0.00641225
8.078421,0.00827809
8.077015,0.00997541
8.075610,0.01146964
8.074204,0.01273032
8.072799,0.01373179
8.071393,0.01445364
8.069987,0.01488115
8.068582,0.01500562
8.067176,0.01482451
8.065771,0.01434152
8.064365,0.01356648
8.062959,0.01251520
8.061554,0.01120909
8.060148,0.00967474
8.058743,0.00794343
8.057337,0.00605044
8.055932,0.00403432
8.054526,0.00193617
8.053120,0.00020129
8.051715,0.00233450
8.050309,0.00441999
8.048904,0.00641528
8.047498,0.00827972
8.046092,0.00997532
8.044687,0.01146753
8.043281,0.01272595
8.041876,0.01372496
8.040470,0.01444417
8.039064,0.01486895
8.037659,0.01499065
8.036253,0.01480677
8.034848,0.01432107
8.033442,0.01354343
8.032037,0.01248972
8.030631,0.01118138
8.029225,0.00964507
8.027820,0.00791211
8.026414,0.00601777
8.025009,0.00400067
8.023603,0.00190190
8.022197,0.00023578
8.020792,0.00236884
8.019386,0.00445379
8.017981,0.00644818
8.016575,0.00831135
8.015169,0.01000538
8.013764,0.01149572
8.012358,0.01275203
8.010953,0.01374871
8.009547,0.01446545
8.008142,0.01488765
8.006736,0.01500672
8.005330,0.01482021
8.003925,0.01433195
8.002519,0.01355188
8.001114,0.01249587
7.999708,0.01118546
7.998302,0.00964735
7.996897,0.00791286
7.995491,0.00601733
7.994086,0.00399940
7.992680,0.00190017
7.991274,0.00023759
7.989869,0.00237035
7.988463,0.00445461
7.987058,0.00644794
7.985652,0.00830972
7.984247,0.01000201
7.982841,0.01149034
7.981435,0.01274439
7.980030,0.01373860
7.978624,0.01445273
7.977219,0.01487222
7.975813,0.01498852
7.974407,0.01479925
7.973002,0.01430829
7.971596,0.01352563
7.970191,0.01246721
7.968785,0.01115459
7.967379,0.00961453
7.965974,0.00787840
7.964568,0.00598156
7.963163,0.00396266
7.961757,0.00186284
7.960352,0.00027513
7.958946,0.00240769
7.957540,0.00449140
7.956135,0.00648379
7.954729,0.00834429
7.953324,0.01003497
7.951918,0.01152141
7.950512,0.01277332
7.949107,0.01376519
7.947701,0.01447681
7.946296,0.01489370
7.944890,0.01500734
7.943484,0.01481542
7.942079,0.01432188
7.940673,0.01353674
7.939268,0.01247603
7.937862,0.01116132
7.936457,0.00961943
7.935051,0.00788176
7.933645,0.00598372
7.932240,0.00396396
7.930834,0.00186366
7.929429,0.00027442
7.928023,0.00240669
7.926617,0.00448973
7.925212,0.00648109
7.923806,0.00834019
7.922401,0.01002919
7.920995,0.01151363
7.919589,0.01276330
7.918184,0.01375273
7.916778,0.01446176
7.915373,0.01487594
7.913967,0.01498684
7.912562,0.01479220
7.911156,0.01429598
7.909750,0.01350829
7.908345,0.01244518
7.906939,0.01112831
7.905534,0.00958450
7.904128,0.00784521
7.902722,0.00594588
7.901317,0.00392519
7.899911,0.00182433
7.898506,0.00031392
7.897100,0.00244599
7.895694,0.00452843
7.894289,0.00651883
7.892883,0.00837663
7.891478,0.01006400
7.890072,0.01154653
7.888667,0.01279403
7.887261,0.01378109
7.885855,0.01448760
7.884450,0.01489917
7.883044,0.01500740
7.881639,0.01481010
7.880233,0.01431129
7.878827,0.01352112
7.877422,0.01245570
7.876016,0.01113673
7.874611,0.00959109
7.873205,0.00785026
7.871799,0.00594972
7.870394,0.00392818
7.868988,0.00182684
7.867583,0.00031151
7.866177,0.00244328
7.864772,0.00452505
7.863366,0.00651441
7.861960,0.00837082
7.860555,0.01005646
7.859149,0.01153699
7.857744,0.01278225
7.856338,0.01376686
7.854932,0.01447077
7.853527,0.01487963
7.852121,0.01498511
7.850716,0.01478506
7.849310,0.01428355
7.847905,0.01349082
7.846499,0.01242299
7.845093,0.01110183
7.843688,0.00955426
7.842282,0.00781180
7.840877,0.00590995
7.839471,0.00388746
7.838065,0.00178553
7.836660,0.00035301
7.835254,0.00248459
7.833849,0.00456580
7.832443,0.00655422
7.831037,0.00840936
7.829632,0.01009340
7.828226,0.01157206
7.826821,0.01281518
7.825415,0.01379747
7.824010,0.01449889
7.822604,0.01490518
7.821198,0.01500804
7.819793,0.01480538
7.818387,0.01430133
7.816982,0.01350617
7.815576,0.01243609
7.814170,0.01111290
7.812765,0.00956355
7.811359,0.00781962
7.809954,0.00591663
7.808548,0.00389335
7.807142,0.00179101
7.805737,0.00034755
7.804331,0.00247877
7.802926,0.00455923
7.801520,0.00654654
7.800115,0.00840020
7.798709,0.01008245
7.797303,0.01155903
7.795898,0.01279983
7.794492,0.01377959
7.793087,0.01447832
7.791681,0.01488182
