x,intensity
-81.321143,0.00000000
-81.346622,0.02066448
-81.368183,0.00813624
-81.391527,0.00000000
-81.415256,0.00812955
-81.441410,0.00000000
-81.464829,0.02994659
-81.485941,0.00000000
-81.509866,0.00000000
-81.530771,0.04069598
-81.554762,0.02037144
-81.580107,0.00000000
-81.604898,0.01682462
-81.625076,0.03315071
-81.648830,0.03322956
-81.670937,0.00000000
-81.695449,0.00000000
-81.717876,0.01426461
-81.744911,0.05521064
-81.765699,0.02082066
-81.786867,0.00211100
-81.813416,0.00000000
-81.834504,0.00345093
-81.859710,0.01308932
-81.884749,0.00697723
-81.907546,0.00000000
-81.930456,0.00000000
-81.952125,0.00000000
-81.978296,0.01204136
-82.000695,0.00000000
-82.022059,0.00286106
-82.045386,0.00000000
-82.070600,0.00611077
-82.094048,0.01548367
-82.118599,0.00000000
-82.139821,0.00000000
-82.164052,0.00000000
-82.187786,0.00000000
-82.208317,0.02516770
-82.232975,0.00000000
-82.257299,0.00000000
-82.280267,0.02217881
-82.305650,0.05695729
-82.326368,0.00299510
-82.348388,0.00000000
-82.375414,0.03151298
-82.396250,0.03612973
-82.416845,0.00000000
-82.442878,0.00000000
-82.467991,0.00000000
-82.488999,0.01369432
-82.514638,0.00000000
-82.538045,0.00000000
-82.561111,0.02973611
-82.583932,0.00342769
-82.607083,0.00832904
-82.631886,0.00944718
-82.654543,0.00000000
-82.678883,0.00000000
-82.698371,0.00000000
-82.723379,0.03323479
-82.748515,0.00108750
-82.768077,0.00000000
-82.794426,0.00000000
-82.818911,0.04440935
-82.839794,0.00000000
-82.860922,0.01571671
-82.886697,0.00000000
-82.909710,0.03321709
-82.931072,0.00000000
-82.956378,0.00000000
-82.977384,0.00000000
-83.003264,0.01716545
-83.024729,0.00000000
-83.048719,0.00000000
-83.070393,0.00107408
-83.097137,0.01396747
-83.121581,0.00195038
-83.141109,0.00000000
-83.167775,0.00000000
-83.187673,0.00637659
-83.214914,0.01723365
-83.237742,0.00973622
-83.257978,0.00632357
-83.281146,0.00932427
-83.306076,0.00000000
-83.332425,0.00000000
-83.353716,0.03193664
-83.374977,0.02197353
-83.401546,0.00429094
-83.424319,0.01696534
-83.443868,0.01916554
-83.472049,0.00361505
-83.491701,0.01636080
-83.518664,0.03387011
-83.542553,0.00000000
-83.561963,0.01823833
-83.586727,0.00242450
-83.607584,0.01089256
-83.635234,0.01707633
-83.653775,0.00127846
-83.677157,0.01131728
-83.705660,0.00792258
-83.724504,0.00144282
-83.749633,0.01778160
-83.771327,0.01674691
-83.795827,0.00000000
-83.818904,0.00877972
-83.844342,0.00000000
-83.867214,0.00000000
-83.891380,0.00000000
-83.915191,0.00000000
-83.933987,0.00000000
-83.958235,0.04043035
-83.982530,0.03543426
-84.009324,0.01422249
-84.027237,0.00000000
-84.054026,0.01760076
-84.074750,0.00453442
-84.100764,0.00000000
-84.123365,0.01558370
-84.148442,0.02076234
-84.171944,0.02919114
-84.194458,0.03351595
-84.216405,0.00000000
-84.238082,0.02043718
-84.265472,0.00180574
-84.286683,0.01457835
-84.312334,0.00664042
-84.335159,0.02299395
-84.356671,0.00703936
-84.377167,0.00000000
-84.402362,0.00000000
-84.424173,0.00466142
-84.450597,0.03743080
-84.471252,0.00000000
-84.498749,0.00000000
-84.520374,0.02074211
-84.541450,0.00000000
-84.566018,0.02625502
-84.587290,0.00755159
-84.613824,0.01854867
-84.637889,0.01154346
-84.657822,0.00000000
-84.685532,0.00000000
-84.704605,0.00465765
-84.728800,0.00115448
-84.753427,0.04629136
-84.777115,0.01205741
-84.797989,0.02829019
-84.826016,0.00000000
-84.849083,0.00000000
-84.872427,0.00000000
-84.895303,0.00000000
-84.917630,0.03020878
-84.942128,0.00000000
-84.962686,0.00000000
-84.988151,0.03144960
-85.007430,0.00000000
-85.032073,0.01321560
-85.055636,0.00049856
-85.079255,0.00000000
-85.105419,0.00000000
-85.128924,0.01677858
-85.149184,0.00000000
-85.174785,0.01062245
-85.198098,0.00000000
-85.220131,0.00000000
-85.244199,0.04915534
-85.264934,0.00000000
-85.289539,0.01709767
-85.313205,0.01306974
-85.335104,0.00000000
-85.358750,0.00000000
-85.380940,0.00392353
-85.408429,0.01617544
-85.430004,0.00000000
-85.456113,0.01418828
-85.478444,0.00381567
-85.497979,0.05321748
-85.522474,0.01001888
-85.547851,0.00000000
-85.568691,0.00000000
-85.595963,0.01856162
-85.614702,0.01250173
-85.639834,0.00634706
-85.661739,0.00000000
-85.685221,0.01214142
-85.707579,0.00000000
-85.730814,0.05300499
-85.758920,0.00000000
-85.778640,0.00000000
-85.803169,0.00000000
-85.826604,0.00000000
-85.848661,0.00000000
-85.873029,0.01309221
-85.899321,0.00000000
-85.921217,0.00000000
-85.942390,0.00534229
-85.967189,0.00000000
-85.987425,0.01537141
-86.015425,0.02563873
-86.036484,0.02206587
-86.061809,0.00000000
-86.083174,0.00000000
-86.108598,0.01935038
-86.132133,0.02844708
-86.153854,0.03531284
-86.174439,0.00691923
-86.200571,0.03526822
-86.223558,0.00000000
-86.245464,0.00000000
-86.269103,0.00000000
-86.294556,0.00000000
-86.317282,0.00000000
-86.340814,0.02311454
-86.365221,0.01980734
-86.389116,0.01558730
-86.408742,0.00000000
-86.434321,0.03802695
-86.456063,0.00882118
-86.478168,0.00000000
-86.505923,0.00500060
-86.528824,0.00000000
-86.549872,0.00000000
-86.576400,0.00397224
