x,intensity
451.215150,-0.01205113
451.074816,0.00536882
451.023190,0.01997005
451.011105,-0.00008771
450.953905,0.01437053
450.919493,-0.01083143
450.881214,0.02295940
450.692715,0.00543242
450.614247,-0.02388375
450.587053,-0.02609140
450.529982,-0.00242063
450.462099,0.02364594
450.377692,-0.00614482
450.329328,0.02259134
450.244454,-0.00195850
450.260305,-0.03747592
450.127796,0.01869607
450.171681,-0.02671362
450.063397,0.00602515
449.911907,0.02936488
449.979339,-0.00918997
449.947211,0.01943556
449.784402,0.02326111
449.633502,0.01355512
449.641907,0.00753694
449.498820,-0.02164256
449.579959,-0.02433857
449.535417,0.02426759
449.378507,-0.01393874
449.314541,-0.05129443
449.327891,0.03808331
449.175048,-0.02714995
449.186089,0.03999606
449.160022,-0.00946202
448.963766,0.00939254
449.025137,-0.00463330
448.796963,-0.02395773
448.762349,-0.01283206
448.720435,-0.01570322
448.714843,-0.01694870
448.604068,0.03313421
448.535141,0.04575388
448.455146,0.01478973
448.475176,-0.00226238
448.427000,0.00812620
448.256109,0.00361403
448.282995,0.00410884
448.153695,-0.00953520
448.178708,0.01250492
448.136131,0.02681541
447.983907,-0.00937375
447.868998,0.00449753
447.815355,-0.00595027
447.828317,-0.00682625
447.628228,0.02834193
447.604565,-0.00733907
447.603749,0.00331331
447.474460,-0.00728182
447.539137,-0.00628876
447.478719,0.02211791
447.306501,0.00031365
447.241751,0.01432022
447.221690,-0.01877425
447.086848,0.02112472
447.088600,0.01305442
446.926318,0.00367250
447.029290,0.01853350
446.857028,-0.00787115
446.824977,0.01209641
446.706329,0.01666413
446.797398,0.00121648
446.668255,0.02491501
446.666791,-0.00975382
446.476474,0.02009578
446.488090,-0.00951929
446.353937,-0.04327271
446.283446,0.00128731
446.331786,0.01049811
446.179838,0.00346387
446.026971,0.03511305
446.018783,-0.00977023
446.046978,-0.01228903
445.888000,-0.00472091
445.942821,-0.00154458
445.746886,-0.00378227
445.824198,0.00084385
445.591248,0.00094452
445.560625,0.00608061
445.613557,-0.00454684
445.563244,-0.01398859
445.394406,-0.04842033
445.266767,0.01295153
445.203108,0.02380457
445.177610,-0.01905647
445.098836,-0.00718681
445.114952,-0.01290516
445.097335,-0.00989305
444.951360,-0.01828082
444.956068,-0.01040686
444.903205,0.00186296
444.769538,-0.02870300
444.763319,-0.02101853
444.571648,0.00130178
444.489647,0.03697533
444.451017,-0.02619775
444.546743,-0.02572711
444.424366,-0.01308773
444.253488,0.00741824
444.209027,-0.02652669
444.131926,0.02629738
444.131498,-0.00972824
444.014585,0.00086398
444.056081,-0.02966897
443.920167,0.01492231
443.963827,0.00499939
443.782682,0.01284212
443.683896,0.00090589
443.685508,-0.01457680
443.545621,0.01304002
443.515077,0.02171430
443.446690,-0.01244063
443.433602,0.01955330
443.357339,-0.02719926
443.207367,-0.01005202
443.254695,-0.01596630
443.073833,-0.01170557
443.009288,0.00923144
443.060810,-0.00338088
442.906381,0.03607594
442.879943,-0.02475595
442.749501,0.01903256
442.849762,0.00773627
442.778126,-0.03053854
442.743305,-0.01947747
442.650692,0.00905225
442.611383,0.02510250
442.464806,0.00780190
442.451981,-0.00603730
442.384411,0.03125211
442.317054,0.01083673
442.251732,-0.01031505
442.148126,-0.01004810
442.049530,-0.01511948
441.922010,-0.00335393
441.924935,-0.01036294
441.897748,-0.01669038
441.877749,-0.01383552
441.651257,-0.01225616
441.634186,0.01356631
441.570817,-0.00665013
441.617847,-0.00258337
441.514454,0.04344386
441.471329,0.03632439
441.293131,-0.00678621
441.396971,0.04722328
441.245980,0.01037377
441.263768,0.03007673
441.120992,0.01528483
441.116145,-0.00112519
440.949535,0.02095730
440.959906,-0.01332571
440.778087,-0.02224861
440.732986,0.01541212
440.765807,-0.02859593
440.623265,0.01582063
440.513216,0.00055335
440.619779,-0.02048936
440.487330,-0.01833185
440.443344,-0.00612287
440.399219,-0.01741343
440.179379,0.01946078
440.271510,0.02137644
440.202183,0.00648756
440.007084,0.02869336
440.010953,0.01828576
439.848541,-0.01055339
439.939525,0.00343145
439.761457,-0.00799415
439.785790,0.00779191
439.706244,0.01149090
439.598353,0.01562587
439.614806,-0.00788750
439.568514,-0.05027726
439.474912,0.01542676
439.362343,-0.02438276
439.320144,0.00140427
439.176206,-0.00740706
439.221648,-0.02235987
439.033001,-0.01355605
438.966737,-0.00887972
439.064908,0.02583855
438.829649,0.02499476
438.832628,-0.00180162
438.814039,0.01735508
438.731645,0.01270910
438.631790,-0.00726532
438.575352,-0.03589803
438.540716,-0.02038082
438.402370,0.03251306
438.397238,0.02585628
438.380290,-0.03023084
438.246764,0.00525095
438.236188,-0.00518124
438.092581,0.00379046
438.028281,0.00020868
437.950924,-0.03794858
437.927377,-0.00741701
437.981319,-0.02047085
437.801305,0.02142026
437.696038,-0.01110646
437.630545,-0.00207071
437.540847,-0.01153544
437.510504,-0.01638625
437.556212,-0.00021811
437.404070,-0.03063231
437.305905,0.00130782
437.380850,0.02820248
437.156279,0.00801913
437.258762,0.02326698
437.079099,0.00663382
437.071277,0.01447065
436.985709,-0.00428888
436.989961,-0.00141352
436.935621,0.01037077
436.779013,-0.00693537
436.763120,-0.02381908
436.766002,-0.00473738
436.693609,0.01257529
436.532373,0.01222006
436.564724,-0.02197640
436.506213,-0.00928825
436.289322,-0.00255944
436.288495,0.01920421
436.189413,0.00071375
436.212119,-0.00130107
436.034350,0.00939260
436.087995,-0.00687655
435.939028,0.03022891
435.900005,-0.01020882
435.794118,-0.01055504
435.832911,0.01760083
435.622651,-0.00461457
435.628342,-0.01566197
435.555833,-0.00950114
435.590992,-0.04386002
435.498052,-0.01569056
435.472947,-0.03791601
435.378473,-0.00770535
435.163451,0.02373745
435.228633,0.01456886
435.183263,0.02311717
435.051869,-0.00292459
435.027758,0.00976540
434.852487,-0.01923126
434.796859,0.00045545
434.828677,0.02047761
434.714690,-0.01317033
434.701854,-0.00801620
434.515884,0.01781536
434.567015,0.03425863
434.394893,-0.01272361
434.325885,-0.02086229
434.316625,0.01840854
434.294083,-0.00799642
434.184806,-0.02016959
434.224641,0.00651228
434.039834,-0.01316625
434.111771,-0.00904857
433.890521,0.00957418
433.924378,-0.00335906
433.855121,-0.01284237
433.794254,0.03724586
433.619202,-0.00091791
433.607455,0.02116173
433.555597,-0.00983374
433.482619,-0.04464761
433.375534,0.01014598
433.379235,0.01371568
433.402060,0.04130931
433.266767,0.00879355
433.215172,0.00874259
433.032037,-0.00300466
432.984440,0.04293119
432.975562,0.00003636
432.890179,-0.01197324
432.907538,-0.02928937
432.808039,-0.01016225
432.714642,-0.01883752
432.690897,-0.00076338
432.660151,0.00113134
432.497415,-0.00370131
432.504598,-0.02143317
432.348920,0.02281210
432.343055,-0.02315457
432.372198,-0.00912839
432.230783,0.02214753
432.183216,0.02135359
432.175715,-0.00744243
432.047661,-0.00382849
432.010221,-0.00228031
431.869940,-0.02064992
431.939917,-0.01258125
431.787970,0.01001217
431.732118,-0.01166939
431.620988,0.03033846
431.657298,-0.00451977
431.613467,-0.00560062
431.495088,0.01950844
431.425075,0.00094860
431.404371,0.01906390
431.324758,0.00904332
431.167473,0.00556187
431.208126,0.01381633
431.082538,-0.01078396
431.098290,-0.01467741
430.981646,0.02264375
430.846309,0.02767221
430.760678,-0.00687224
430.787261,-0.01137239
430.610673,0.01082480
430.660805,0.03166146
430.536705,0.01902708
430.408277,-0.01369521
430.486196,0.00764658
430.298030,-0.00930995
430.257256,0.02098328
430.284983,-0.01845341
430.105799,-0.03469137
430.097139,0.00499620
430.038514,-0.02729694
429.891676,0.00457090
429.867844,-0.02785772
429.944002,-0.00080489
429.735335,-0.00773654
429.746442,-0.03241362
429.737000,0.03008911
429.599281,0.01563704
429.600085,0.00058670
429.404569,0.01185040
429.479210,-0.00372133
429.257388,-0.01307438
429.267414,-0.00833693
429.253252,-0.03142084
429.139025,-0.00343102
429.142786,-0.01398547
428.990732,0.00989009
428.906346,0.01106424
428.938767,0.03332190
428.759874,0.01293537
428.841702,0.03686133
428.674329,0.04445475
428.610654,0.02299937
428.491006,-0.02782882
428.547196,-0.01813505
428.349565,0.01257339
428.391217,0.02473870
428.302267,-0.01040724
428.333797,0.02277379
428.248383,0.02014299
428.187346,0.04842734
428.028576,-0.01741451
427.897451,-0.01418151
427.951926,-0.00618797
427.911275,-0.00249759
427.763508,-0.02109183
427.775438,0.00769596
427.712661,0.00557379
427.624308,0.01170804
427.475875,-0.00448619
427.419206,-0.00948611
427.333492,-0.03526711
427.410634,0.00274567
427.252037,-0.05523285
427.303501,0.00056754
427.200652,-0.01805685
427.104302,0.03817206
427.086738,0.00829603
426.990124,-0.01681510
426.930612,-0.02400308
426.928426,-0.02014330
426.760490,0.01794950
426.624021,-0.00789360
426.587971,-0.01693664
426.596199,0.02053988
426.544092,-0.00581338
426.402292,0.01842958
426.445863,0.01645985
426.372114,-0.03622891
426.253142,0.01639061
426.130985,-0.01362995
426.176310,0.00230147
426.037625,0.01071957
425.961636,0.04220583
426.009039,-0.01661451
425.882370,0.00311099
425.778064,-0.00204107
425.637110,0.04121110
425.666655,-0.00684210
425.666884,0.01092532
425.581143,-0.01621479
425.494573,-0.01759872
425.373771,-0.00887256
425.344459,0.01781250
425.249727,0.01276365
425.136857,-0.01721711
425.082964,0.01384500
425.110864,-0.04515148
425.127103,0.01059581
424.941196,-0.02026587
424.883550,-0.01343018
424.929966,-0.01021691
424.787741,0.00163470
424.611435,0.00300699
424.716062,-0.01439574
424.555312,-0.00250057
424.507568,0.01283538
424.475753,-0.03677100
424.385020,0.01274845
424.306312,-0.00925114
424.242614,-0.02792866
424.185966,0.00821493
424.121797,0.02514918
424.063129,0.01531828
424.012453,0.01785675
423.845672,-0.02386214
423.923018,-0.00253358
423.776964,0.02238187
423.648375,-0.00643796
423.662323,0.01473530
423.603734,0.01705178
423.517385,0.01076289
423.413472,0.00808512
423.338613,0.03014111
423.404922,-0.01025636
423.384204,0.00869530
423.246490,0.01606337
423.170573,0.00711800
423.158433,0.01076366
423.040697,0.00301820
423.057490,-0.00141139
422.975965,-0.02347618
422.834322,-0.01246313
422.796522,-0.01816764
422.677679,0.04728044
422.583703,-0.01883039
422.577425,0.02635687
422.589165,0.01816323
422.418979,0.01709495
422.385390,-0.00693526
422.336605,-0.01662573
422.324176,0.02272388
422.179193,0.01642366
422.076316,-0.00776504
422.154802,0.03225086
421.956844,0.01069150
421.868371,0.00096434
421.934138,0.00232483
421.815602,0.01100367
421.669749,0.00739597
421.751296,0.00432112
421.685151,-0.01442203
421.500426,0.03295497
421.563891,-0.01631993
421.484131,0.01967218
421.279552,-0.01741842
421.354054,-0.00315695
421.228475,-0.01423736
421.105787,0.00443529
421.114871,0.04526400
421.072805,0.00086094
421.065170,-0.00871893
420.944466,-0.00768006
420.805291,-0.00769947
420.713666,-0.01850123
420.719681,0.01417638
420.730152,0.02979861
420.530402,0.01980354
420.449869,0.01799158
420.515852,0.02680173
420.437173,-0.01433454
420.246807,-0.01586985
420.207959,0.00765061
420.257560,0.00553372
420.165281,-0.01549293
420.016652,-0.03966135
420.062062,-0.00169427
420.040500,-0.04850479
419.873668,-0.01450675
419.788699,-0.02001470
419.795345,-0.03165897
419.783772,0.00487410
419.600224,0.02416962
419.608180,-0.00391993
419.468173,0.01630014
419.496435,0.02044761
419.356298,-0.01690328
419.315066,-0.02395390
419.265640,0.00660300
419.185847,0.01304258
419.207914,0.01805433
419.147682,-0.03506650
418.901374,-0.00936925
418.953985,0.00862968
418.874590,0.01144941
418.792532,-0.00066438
418.781498,-0.01635219
418.707049,0.02515548
418.610384,-0.02920459
418.548122,0.01169842
418.478138,0.01319733
418.471609,-0.03114724
418.411651,-0.00851130
418.364874,0.03320797
418.281012,-0.00211717
418.114162,-0.01246637
417.988044,0.00224277
418.076085,-0.01508940
417.905753,-0.00227143
417.855496,0.04999933
417.911780,-0.00692688
417.809492,-0.04029057
417.663614,-0.00112531
417.593706,0.04608590
417.523923,0.00982757
417.425659,0.01408053
417.363632,0.00887425
417.451469,0.00553504
417.240977,0.03567110
417.343424,0.02271686
417.206201,0.00892353
417.086592,-0.00030900
417.120965,-0.00334409
417.036565,-0.03471967
416.940093,-0.00197831
416.952388,-0.01433326
416.868748,0.01227757
416.728538,0.01342644
416.702278,0.01273063
416.682912,0.02001122
416.484911,0.01444324
416.423142,0.00224309
416.381478,0.01506576
416.273908,-0.01968723
416.214176,-0.00633093
416.172923,0.01397136
416.091207,0.00950692
416.032808,-0.02783488
416.028127,-0.01047251
415.969147,0.01176975
415.854154,0.01298272
415.828129,0.00722343
415.868104,-0.01137423
415.701584,-0.01810999
415.594980,0.01646903
415.589429,0.02879137
415.489067,0.01348853
415.527784,-0.02212235
415.306738,0.01517835
415.392691,0.00613077
415.329547,0.02235752
415.101970,0.02035484
415.038051,0.01128382
414.969659,-0.02952086
415.072035,0.00428340
414.844378,-0.00817083
414.810968,-0.00496311
414.792725,0.00083075
414.716492,0.00025232
414.643849,0.01071110
414.591710,0.00100480
414.574954,0.01027216
414.534619,0.01155486
414.472946,-0.00779102
414.256888,0.00367321
414.250045,0.06002776
414.262310,-0.02004491
414.113083,-0.00285544
414.159851,0.00282898
414.097093,0.00232959
414.034118,0.01606308
413.962316,-0.01347920
413.770512,-0.00817560
413.686837,0.00974861
413.801120,-0.01338412
413.601917,-0.01762915
413.639876,0.01354669
413.454589,0.03237322
413.391682,0.00344056
413.406519,0.00684263
413.406037,-0.03901742
413.241991,-0.02499802
413.100872,-0.00989645
413.083041,-0.01057351
413.063436,-0.01183238
413.096857,-0.00229598
412.897076,-0.00295452
412.795163,-0.00614366
412.836680,0.01324834
412.745292,0.00717539
412.631045,-0.03811317
412.525747,-0.01922403
412.542818,-0.01830112
412.443387,0.03300852
412.500946,0.02385211
412.395629,0.00849611
412.294648,0.00455792
412.322789,-0.03327883
412.159412,0.01422276
412.135252,0.00204362
411.966847,-0.00511673
412.047407,-0.00438856
411.912357,0.00707882
411.770214,0.01465796
411.748955,0.00754090
411.741396,-0.01340493
